net,length_um
net173,833.84µm
net177,825.52µm
net170,818.03µm
net110,657.68µm
_0583_,637.26µm
_0569_,628.48µm
_0006_,610.7µm
_1450_,598.07µm
_0595_,564.71µm
_2359_,531.8µm
_2378_,530.51µm
_0433_,507.36µm
net164,505.61µm
_2374_,493.23µm
_0445_,492.65µm
_1453_,491.65µm
net180,487.21µm
net171,486.7µm
_0470_,480.57µm
_2401_,469.96µm
INSTR\[24\],460.8µm
_1333_,459.26µm
_2360_,456.99µm
_2413_,456.37µm
net49,450.13µm
_2362_,445.41µm
_0001_,443.29µm
_0791_,434.925µm
IMM\[2\],434.18µm
STATE\[3\],431.96µm
_0009_,431.87µm
net178,426.6µm
net168,418.61µm
_0811_,418.36µm
_0797_,417.82µm
_0471_,416.3µm
_1324_,416.27µm
net111,416.1µm
_0493_,413.76µm
clknet_2_0__leaf_CLK,413.21µm
_2367_,412.705µm
_0609_,408.65µm
_0005_,406.91µm
_0007_,405.95µm
_0003_,402.05µm
net174,400.91µm
net169,399.86µm
_2361_,397.38µm
net179,396.86µm
_0806_,395.15µm
_0011_,394.55µm
_2363_,387.32µm
_0793_,380.49µm
IMM\[1\],379.66µm
net176,376.43µm
_0804_,375.58µm
INSTR\[26\],372.945µm
_2392_,370.575µm
_0813_,369.83µm
INSTR\[25\],364.15µm
_0802_,364.07µm
_2358_,362.67µm
net161,361.545µm
_1443_,360.675µm
_0784_,359.955µm
IMM\[0\],356.765µm
_0795_,355.625µm
clknet_2_1__leaf_CLK,349.1µm
clknet_2_2__leaf_CLK,348.32µm
_0002_,348.3µm
_0816_,343.15µm
net181,341.94µm
_0446_,340.67µm
_1150_,339.21µm
_2366_,337.38µm
net156,337.05µm
net167,336.88µm
IMM\[15\],336.87µm
net165,336.055µm
_2414_,330.81µm
net162,329.34µm
_0004_,326.25µm
_1326_,322.76µm
IMM\[3\],322.26µm
net172,320.12µm
net149,319.46µm
_0010_,318.91µm
_0809_,318.32µm
net150,312.77µm
_0506_,308.55µm
_0800_,308.53µm
net175,307.58µm
net125,307.27µm
net126,307.06µm
_2391_,297.22µm
clknet_0_CLK,294.28µm
net137,293.75µm
_0854_,292.39µm
_2368_,287.61µm
INSTR\[27\],285.7µm
_2357_,285.06µm
IMM\[4\],284.61µm
IMM\[8\],282.37µm
net157,279.12µm
_0860_,276.5µm
net118,274.03µm
_1445_,272.68µm
IMM\[7\],269.22µm
_0822_,266.96µm
net151,266.45µm
_1108_,264.84µm
_0820_,264.265µm
net119,263.36µm
_0000_,261.94µm
_0008_,261.82µm
_0540_,259.06µm
_0839_,258.31µm
net159,258.3µm
_1328_,255.485µm
_0851_,253.79µm
IMM\[14\],252.42µm
_0631_,251.66µm
IMM\[9\],250.71µm
net155,250.375µm
net115,249.45µm
net160,248.81µm
net108,248.52µm
IMM\[11\],246.57µm
CLK,245.25µm
_0857_,245.115µm
_0719_,244.86µm
_1149_,243.12µm
_2080_,242.41µm
_0842_,242.285µm
_0679_,240.825µm
net158,240.66µm
_0818_,238.96µm
_0847_,238.68µm
_1449_,235µm
_0849_,234.075µm
_1452_,233.88µm
_0840_,233.68µm
net109,231.38µm
net135,230.96µm
_0850_,230.55µm
net116,229.73µm
_0759_,228.82µm
net144,228.585µm
_0459_,228µm
net163,227.78µm
net145,226.915µm
_0671_,225.96µm
IMM\[12\],224.77µm
_0663_,224.51µm
_0838_,224.295µm
_0856_,223.02µm
_0855_,222.965µm
_1246_,221.95µm
net140,221.79µm
RESULT_MEM_EN,221.45µm
IMM\[5\],217.96µm
net143,217.82µm
_1083_,217.495µm
IMM\[6\],217.32µm
IMM\[10\],215.73µm
_0541_,215.32µm
clknet_2_3__leaf_CLK,214.74µm
_1980_,214.11µm
_0727_,212.67µm
_2222_,211.255µm
_0852_,210.56µm
RESULT_ALU_EN,208.385µm
_1325_,207.4µm
_1444_,207.07µm
_1092_,205.97µm
_2221_,200.56µm
_2369_,198.935µm
_1327_,197.09µm
_0735_,196.78µm
_0516_,196.275µm
_0687_,196.06µm
net136,195.815µm
_0711_,194.74µm
_0835_,194.1µm
_1856_,193.885µm
_0526_,193.18µm
_0514_,191.22µm
net117,191.05µm
net141,190.82µm
IMM\[13\],190.19µm
_1234_,189.52µm
net153,188.575µm
net142,188.02µm
net121,187.01µm
net134,186.215µm
RESULT_SYS_EN,181.815µm
net113,180.455µm
_0828_,180.34µm
_1623_,178.32µm
net148,177.45µm
net147,177.42µm
_0596_,176.9µm
net120,176.26µm
_0695_,175.8µm
_1064_,174.82µm
_0481_,174.81µm
_0861_,173.92µm
_1587_,173.56µm
net124,173.41µm
net152,173.36µm
_1073_,172.56µm
_1259_,172.44µm
_1316_,172.39µm
net146,171.685µm
_1271_,170.57µm
_0434_,170.5µm
_1074_,170.28µm
_2402_,169.99µm
net138,169.84µm
net123,169.82µm
_0954_,169.5µm
_0848_,168.09µm
net154,168.03µm
_1655_,167.76µm
_0642_,167.66µm
_2365_,167.46µm
net122,166.45µm
_1082_,165.82µm
_0650_,164.045µm
_0833_,162.285µm
net128,161.02µm
_1605_,160.74µm
_0841_,160.24µm
_2372_,160.12µm
_0829_,159.88µm
_0788_,159.62µm
_2371_,158.88µm
_0831_,158.845µm
_0832_,158.02µm
net129,157.9µm
_0570_,157.02µm
_0743_,156.42µm
_1158_,156.09µm
_0836_,154.7µm
_1294_,154.39µm
_1275_,154.22µm
_1551_,151.6µm
_1283_,150.85µm
_0639_,150.615µm
_1157_,149.62µm
net139,149.03µm
_0561_,148.57µm
_0858_,146.87µm
_0789_,146.42µm
_0949_,145.37µm
net112,143.04µm
net166,142.16µm
net71,142.065µm
_1093_,141.96µm
_0751_,141.64µm
net114,140.72µm
_0824_,140.33µm
_1317_,140.195µm
_1391_,140.07µm
_0834_,138.9µm
_1336_,138.33µm
_0876_,137.595µm
_1365_,136.86µm
_0634_,136.005µm
_0539_,135.74µm
_0846_,134.88µm
_0703_,132.7µm
_1703_,131.2µm
_1116_,131.14µm
_1539_,130.76µm
_1320_,129.58µm
_1091_,126.12µm
_1075_,125.65µm
_1286_,125.545µm
_0622_,125.48µm
_0492_,125.29µm
_0843_,125.28µm
_1226_,123.68µm
_1066_,123.64µm
net131,123.42µm
_1497_,121.92µm
_0469_,121.04µm
_1647_,120.47µm
net67,120.04µm
_2062_,119.56µm
_1200_,119.12µm
_0682_,119.08µm
_1270_,118.78µm
clknet_leaf_13_CLK,117.66µm
_1636_,116.62µm
_2405_,116.445µm
_1498_,116.01µm
_1685_,115.15µm
_0582_,114.68µm
_0874_,114.24µm
_0505_,113.6µm
_1793_,112.71µm
_0519_,112.67µm
_1211_,112.33µm
_0770_,112.22µm
_2033_,112.16µm
_0608_,111.86µm
_2145_,111.6µm
_2060_,111.46µm
_2156_,111.02µm
_0698_,110.6µm
_0278_,110.08µm
_0875_,109.8µm
_0647_,109.18µm
_0458_,108.78µm
_1342_,108.66µm
net132,108.44µm
_1188_,107.49µm
clknet_leaf_6_CLK,107.48µm
net44,107.25µm
_1927_,107.14µm
net64,107.09µm
_1386_,106.86µm
_2038_,106.74µm
_0845_,106.735µm
_1954_,106.71µm
_0607_,106.66µm
_0768_,106.56µm
_1665_,106.55µm
_1315_,106.36µm
_1724_,105.935µm
_1813_,105.7µm
_1282_,105.56µm
net59,105.26µm
_1597_,105.18µm
_0658_,105.06µm
_1321_,104.99µm
_1245_,104.85µm
_2026_,104.52µm
RESULT_MEM\[3\],103.53µm
_0491_,103.51µm
_1250_,102.54µm
clknet_leaf_23_CLK,102.3µm
_0504_,102.23µm
clknet_leaf_11_CLK,102.12µm
RESULT_MEM\[1\],101.74µm
_0690_,100.525µm
_0628_,100.46µm
_1262_,100.1µm
_1164_,99.62µm
_1161_,99.6µm
_2011_,99.35µm
RESULT_MEM\[2\],99.345µm
_2078_,99.28µm
_1532_,98.93µm
_0767_,98.8µm
_1102_,98.67µm
_1136_,98.59µm
_1547_,98.52µm
_0825_,98.36µm
_1751_,98.3µm
net66,98.26µm
_1063_,97.88µm
_1128_,97.7µm
_0714_,97.66µm
clknet_leaf_38_CLK,97.59µm
_0666_,96.64µm
clknet_leaf_16_CLK,96.22µm
net45,95.895µm
_2383_,95.66µm
RESULT_ALU\[5\],94.66µm
_0550_,94.58µm
_1529_,94.1µm
REG_COND\[1\],94.02µm
clknet_leaf_2_CLK,94µm
_2084_,93.92µm
_1848_,93.52µm
_1625_,93.26µm
net133,93.175µm
clknet_leaf_9_CLK,92.88µm
_1914_,92.75µm
_1533_,92.48µm
_1482_,92.08µm
_1441_,91.84µm
_2387_,91.675µm
_2207_,91.66µm
REG_COND\[0\],91.48µm
clknet_leaf_17_CLK,91.34µm
_1998_,90.9µm
_1171_,90.8µm
clknet_leaf_37_CLK,90.6µm
_1977_,90.28µm
_2110_,89.9µm
clknet_leaf_40_CLK,89.86µm
_0766_,89.09µm
clknet_leaf_31_CLK,88.98µm
_1469_,88.9µm
_1499_,88.82µm
clknet_leaf_0_CLK,88.63µm
net127,88.3µm
_1847_,87.88µm
_1962_,87.52µm
_1179_,87.395µm
_1274_,87.35µm
net60,86.88µm
clknet_leaf_4_CLK,86.82µm
clknet_leaf_14_CLK,86.02µm
_0560_,85.92µm
clknet_leaf_30_CLK,85.72µm
clknet_leaf_5_CLK,85.46µm
_1984_,85.06µm
_0279_,85.02µm
clknet_leaf_22_CLK,84.88µm
RESULT_MEM\[0\],84.34µm
_1763_,84.34µm
clknet_leaf_28_CLK,84.24µm
_1127_,84.01µm
_1260_,84µm
clknet_leaf_26_CLK,83.42µm
INSTR\[28\],83.28µm
_2194_,83.18µm
clknet_leaf_20_CLK,83.08µm
_1996_,83.02µm
RESULT_MEM\[4\],82.525µm
_1690_,82.14µm
clknet_leaf_10_CLK,82.08µm
_0730_,81.905µm
net55,81.8µm
_1056_,81.74µm
_1418_,81.6µm
_1233_,81.36µm
clknet_leaf_8_CLK,81.32µm
clknet_leaf_1_CLK,81µm
clknet_leaf_39_CLK,81µm
_0280_,80.42µm
_0655_,80.36µm
_2382_,80.2µm
net61,80.02µm
_1660_,79.8µm
net62,79.76µm
_0765_,79.7µm
clknet_leaf_35_CLK,79.52µm
_1476_,79.42µm
clknet_leaf_3_CLK,79.22µm
_1440_,79.1µm
clknet_leaf_29_CLK,79.1µm
_1258_,78.84µm
_2104_,78.38µm
_1123_,78.195µm
_1055_,78.13µm
clknet_leaf_18_CLK,77.94µm
_0450_,77.92µm
_1222_,77.22µm
_1840_,77.03µm
_2106_,77.02µm
_1506_,76.98µm
_1203_,76.84µm
_1214_,76.695µm
_1924_,76.64µm
clknet_leaf_12_CLK,76.58µm
net65,76.36µm
_1600_,76.18µm
_2181_,76.12µm
_2169_,76.06µm
net38,75.845µm
_0594_,75.18µm
_2023_,75.16µm
_2027_,75.07µm
_2417_,74.27µm
_1770_,74.1µm
_0531_,73.94µm
_2133_,73.34µm
clknet_leaf_19_CLK,73.14µm
clknet_leaf_7_CLK,72.92µm
_1261_,72.44µm
_1129_,72.42µm
_1172_,72µm
_1313_,71.96µm
_1249_,71.895µm
STATE\[6\],71.24µm
clknet_leaf_41_CLK,71µm
_0720_,70.98µm
net68,70.95µm
clknet_leaf_33_CLK,70.9µm
JMP_STREAM_COUNT,70.4µm
_1531_,70.34µm
_1883_,70.24µm
_1852_,70.12µm
_2058_,69.98µm
_0721_,69.54µm
_1850_,69.28µm
_1978_,69.24µm
_1745_,68.67µm
_1237_,68.64µm
INSTR\[20\],68.06µm
clknet_leaf_24_CLK,68.02µm
_1829_,67.92µm
_2092_,67.88µm
clknet_leaf_25_CLK,67.72µm
_0586_,67.645µm
_1202_,66.92µm
clknet_leaf_15_CLK,66.8µm
RESULT_SYS\[15\],66.73µm
_1960_,66.6µm
_1985_,66.41µm
_2219_,66.22µm
RESULT_SYS\[12\],66.085µm
net39,66.075µm
clknet_leaf_34_CLK,66.06µm
_0746_,66.025µm
net54,65.9µm
_1148_,65.82µm
_1322_,65.74µm
_1792_,65.7µm
_1361_,65.67µm
_0497_,65.66µm
_1866_,65.44µm
_1524_,65.24µm
_0515_,65.14µm
_0277_,65.105µm
clknet_leaf_27_CLK,65.095µm
_1312_,65.06µm
_0012_,64.665µm
_2076_,64.5µm
_1176_,64.38µm
_1523_,64.26µm
_1555_,64.2µm
_1622_,63.96µm
RESULT_SYS\[11\],63.68µm
_1791_,63.24µm
_1187_,63.2µm
_0894_,63.11µm
net63,62.815µm
_0542_,62.31µm
_1199_,62.18µm
_2066_,62.04µm
REG_COND\[2\],61.42µm
_2094_,61.38µm
_0939_,61.3µm
_0444_,61.26µm
_0762_,60.78µm
_0764_,60.75µm
clknet_leaf_32_CLK,59.98µm
_0872_,59.96µm
_1559_,59.96µm
INSTR\[21\],59.78µm
_0626_,59.645µm
_2093_,59.4µm
STATE\[2\],59.32µm
_2356_,58.56µm
_0568_,58.18µm
_1713_,58.16µm
_1550_,57.96µm
_1585_,57.7µm
_2025_,57.46µm
_1546_,56.88µm
_0551_,56.8µm
_1119_,56.69µm
_1430_,56.5µm
_0761_,56.44µm
net130,56.3µm
_1684_,56.22µm
_2050_,56.11µm
_1221_,56.08µm
_2131_,56.08µm
_0432_,55.88µm
net56,55.86µm
_1702_,55.84µm
_1635_,55.68µm
_0803_,55.6µm
_2089_,55.46µm
_1314_,55.435µm
net69,54.3µm
_1507_,54.24µm
_1569_,53.18µm
_0625_,52.74µm
_1854_,52.72µm
_0830_,52.7µm
_1124_,52.62µm
_1236_,52.32µm
_1674_,52.205µm
_0574_,52.18µm
RESULT_SYS\[1\],52µm
INSTR\[29\],51.925µm
_2412_,51.74µm
_1213_,51.56µm
_2201_,51.54µm
_1839_,51.52µm
_0706_,51.26µm
_1648_,51.1µm
clknet_leaf_21_CLK,50.7µm
_1359_,50.48µm
_0873_,50.16µm
_1225_,50.1µm
clknet_leaf_36_CLK,49.82µm
_1293_,49.38µm
_0275_,49.2µm
_1117_,49.18µm
_2415_,48.99µm
_2071_,48.92µm
_1877_,48.78µm
_1398_,48.66µm
_0613_,48.52µm
_1191_,48.39µm
_1733_,48.39µm
_2144_,48.34µm
_0480_,48.22µm
_1711_,47.76µm
_1661_,47.59µm
_2355_,47.56µm
RESULT_SYS\[6\],47.49µm
