Metric,Value
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,107867
design__violations,0
design__instance__count__class:timing_repair_buffer,181
design__instance__area__class:timing_repair_buffer,1965.64
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,72
design__instance__area__class:clock_buffer,934.646
design__instance__count__class:clock_inverter,8
design__instance__area__class:clock_inverter,82.5792
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,75
global_route__wirelength,194310
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,4
route__net,3144
route__net__special,2
route__drc_errors__iter:0,118
route__wirelength__iter:0,132859
route__drc_errors__iter:1,11
route__wirelength__iter:1,132814
route__drc_errors__iter:2,1
route__wirelength__iter:2,132813
route__drc_errors__iter:3,0
route__wirelength__iter:3,132813
route__drc_errors__iter:4,0
route__wirelength__iter:4,132826
route__drc_errors,0
route__wirelength,132813
route__vias,27541
route__vias__singlecut,27541
route__vias__multicut,0
design__instance__count__class:antenna_cell,4
design__instance__area__class:antenna_cell,10.0096
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,833.84
timing__unannotated_net__count__corner:nom_tt_025C_1v80,33
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,33
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,33
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.038749615724044735
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.038749615724044735
timing__hold__ws__corner:min_tt_025C_1v80,0.4486859344397742
timing__setup__ws__corner:min_tt_025C_1v80,13.755166284213328
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.448686
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,19.400520
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,33
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,0
design__max_fanout_violation__count__corner:min_ss_100C_1v60,0
design__max_cap_violation__count__corner:min_ss_100C_1v60,0
clock__skew__worst_hold__corner:min_ss_100C_1v60,0.06466921625690739
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.06466921625690739
timing__hold__ws__corner:min_ss_100C_1v60,0.886034048986816
timing__setup__ws__corner:min_ss_100C_1v60,6.572209629208814
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.886034
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,12.001281
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,33
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,0
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,0.028635428172509567
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.028635428172509567
timing__hold__ws__corner:min_ff_n40C_1v95,0.2833215131585302
timing__setup__ws__corner:min_ff_n40C_1v95,16.43274007824186
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.283321
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,33
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,0
design__max_fanout_violation__count__corner:max_tt_025C_1v80,0
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,0.04835726400626876
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.04835726400626876
timing__hold__ws__corner:max_tt_025C_1v80,0.45301130795489253
timing__setup__ws__corner:max_tt_025C_1v80,13.50158156825446
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.453011
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,19.224653
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,33
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,33
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,0.036766202234457125
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.036766202234457125
timing__hold__ws__corner:max_ff_n40C_1v95,0.28628492053967053
timing__setup__ws__corner:max_ff_n40C_1v95,16.25863578677456
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.286285
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,33
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,33
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:max_ss_100C_1v60,1.5997
design_powergrid__drop__average__net:VPWR__corner:max_ss_100C_1v60,1.59991
design_powergrid__drop__worst__net:VPWR__corner:max_ss_100C_1v60,0.000295312
design_powergrid__voltage__worst__net:VGND__corner:max_ss_100C_1v60,0.000344359
design_powergrid__drop__average__net:VGND__corner:max_ss_100C_1v60,0.0000909416
design_powergrid__drop__worst__net:VGND__corner:max_ss_100C_1v60,0.000344359
design_powergrid__voltage__worst,0.000344359
design_powergrid__voltage__worst__net:VPWR,1.5997
design_powergrid__drop__worst,0.000344359
design_powergrid__drop__worst__net:VPWR,0.000295312
design_powergrid__voltage__worst__net:VGND,0.000344359
design_powergrid__drop__worst__net:VGND,0.000344359
ir__voltage__worst,1.600000000000000088817841970012523233890533447265625
ir__drop__avg,0.000094099999999999996906467625290559908535215072333812713623046875
ir__drop__worst,0.000295000000000000014814538484841932586277835071086883544921875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
