net,length_um
clknet_0_CLK,443.695µm
net473,434.71µm
net383,431.08µm
_2361_,412.63µm
net322,410.4µm
net243,409.73µm
_0666_,390.21µm
net176,384.68µm
net385,375.08µm
_2372_,371.185µm
net388,371.17µm
net469,368.83µm
net282,368.56µm
_0522_,365.81µm
net168,360.29µm
_2397_,360.05µm
net158,357.15µm
net204,356.835µm
net172,356.58µm
net345,354.29µm
net257,352.24µm
net166,347.8µm
net269,347.265µm
net239,346.64µm
net362,344.57µm
_2385_,343.65µm
net156,341.27µm
_0618_,338.12µm
_0610_,336.44µm
net241,336.135µm
_0650_,330.12µm
net327,326.47µm
net286,326.3µm
net253,325.69µm
net288,324.425µm
net263,323.71µm
net174,323.08µm
net255,322.405µm
net387,322.31µm
net313,321.76µm
net390,320.915µm
_0658_,319.52µm
_2333_,319.37µm
net357,319.2µm
net160,318.88µm
net251,317.325µm
_0508_,315.84µm
IMM\[2\],314.69µm
net314,313.44µm
net434,312.08µm
_0433_,312.02µm
_0594_,311.67µm
net164,310.23µm
net170,309.69µm
net245,309.21µm
net301,307.91µm
net265,307.42µm
_2384_,304.52µm
net261,303.775µm
net359,303.27µm
net365,302.93µm
net249,302.755µm
net297,302.66µm
net331,302.12µm
_0602_,302.09µm
net316,301.87µm
net319,301.51µm
_0507_,300.41µm
net391,299.31µm
net222,298.975µm
net472,292.73µm
net341,292.68µm
net393,291.63µm
net315,289.96µm
IMM\[3\],289.27µm
net259,289.185µm
_0634_,288.97µm
net276,286.8µm
net318,286.65µm
_0410_,286.63µm
net310,286.34µm
net366,285.47µm
net112,283.82µm
_0753_,283.28µm
net247,281.97µm
net381,281.91µm
_0421_,279.05µm
_0578_,278.34µm
net344,271.81µm
net284,270.89µm
net267,270.715µm
net378,270.38µm
_1102_,269.02µm
net398,268.385µm
_2336_,266.66µm
net312,266.53µm
net436,265.34µm
net332,264.3µm
net296,263.96µm
net162,262.5µm
_0740_,262.16µm
_1121_,262.145µm
_0674_,262.08µm
_1374_,261.495µm
_1373_,260.665µm
net432,258.19µm
net302,256.92µm
net294,255.69µm
CLK,254.34µm
net280,253.29µm
net277,253.13µm
_1507_,250.52µm
net369,250.4µm
net326,250.315µm
net471,248.53µm
net307,247.05µm
net342,246.04µm
_1237_,245.39µm
net290,243.16µm
IMM\[8\],241.74µm
net134,241.24µm
_0749_,240.84µm
net364,240.82µm
net396,240.66µm
net363,237.96µm
net306,236.48µm
_1195_,235.89µm
_1130_,234.17µm
IMM\[9\],233.65µm
_0733_,232.82µm
_0723_,231.73µm
_1112_,228.74µm
_0642_,228.635µm
_2360_,228.23µm
net320,227.82µm
_0746_,227.25µm
net370,226.73µm
net115,226.3µm
_1506_,226.17µm
net384,225.825µm
_0751_,225µm
_0626_,222.865µm
net343,220.36µm
net279,220.075µm
net522,219.99µm
net278,216.53µm
net360,215.88µm
net395,215.51µm
net295,212.96µm
_0447_,212.94µm
net200,210.34µm
net386,210.18µm
net127,210.045µm
clknet_3_0__leaf_CLK,208.37µm
net283,206.805µm
net242,206.715µm
_0548_,206.61µm
net411,205.61µm
net433,205.57µm
net368,205.29µm
net311,204.12µm
net516,204.1µm
net324,203.685µm
net361,203.53µm
_1217_,203.06µm
net317,202.16µm
net293,201.54µm
_0803_,201.49µm
net159,201.4µm
_0757_,201.28µm
net333,201.17µm
net303,201.02µm
_1489_,200.8µm
net339,200.78µm
net505,197.62µm
_0006_,197.2µm
net448,196.86µm
_2337_,196.66µm
net389,196.57µm
net348,196.14µm
net49,195.21µm
net305,194.08µm
net410,193.54µm
net254,192.35µm
IMM\[5\],191.9µm
net299,191.25µm
net182,191.08µm
net406,190.08µm
net374,188.56µm
net128,188.285µm
_1206_,188.05µm
net287,187.805µm
_0536_,187.14µm
_0478_,186.91µm
net431,186.63µm
_0549_,185.85µm
net270,185.42µm
_1183_,185.38µm
net244,185.27µm
_0735_,184.9µm
_1503_,184.7µm
_2325_,184.56µm
_0015_,183.62µm
_1245_,182.485µm
net346,182.3µm
net211,182.02µm
_1375_,181.65µm
net264,181.4µm
net177,181.25µm
IMM\[10\],180.97µm
_1257_,178.93µm
_0409_,178.82µm
net304,178.78µm
_0761_,178.64µm
clknet_3_2__leaf_CLK,178.54µm
net258,178.4µm
net444,178.11µm
_0499_,177.63µm
_0755_,176.86µm
net252,176.85µm
_0729_,176.48µm
net165,176.1µm
net246,175.995µm
net330,175.65µm
net205,175.41µm
_1148_,174.815µm
_1679_,174.34µm
net167,174.25µm
net256,173.77µm
net487,173.71µm
_0690_,172.14µm
clknet_3_1__leaf_CLK,171.72µm
net430,171.2µm
net250,170.075µm
net198,169.775µm
net289,169.31µm
net111,167.84µm
net285,167.755µm
net470,167.41µm
net132,167.015µm
net281,166.64µm
net373,166.5µm
net268,166.475µm
IMM\[11\],166.26µm
_1858_,165.05µm
clknet_3_5__leaf_CLK,164.74µm
net336,164.465µm
net129,164.41µm
net169,164.36µm
net351,163.8µm
_1150_,163.43µm
