net,length_um
_1200_,120.375µm
_2062_,119.56µm
_0874_,119.23µm
_0505_,118.88µm
_0789_,118.715µm
_1066_,118.57µm
_1075_,118.28µm
_1498_,118.28µm
clknet_leaf_14_CLK,118.22µm
_0469_,117.98µm
clknet_leaf_38_CLK,117.6µm
_0647_,116.83µm
clknet_leaf_24_CLK,116.78µm
_0658_,116.62µm
_2033_,116.62µm
_0491_,116.49µm
_1685_,116.41µm
_2405_,116.21µm
_1636_,116.2µm
_0504_,115.74µm
RESULT_MEM\[1\],114.83µm
_0875_,113.825µm
clknet_leaf_27_CLK,113.66µm
net59,113.5µm
_0278_,113.4µm
_0682_,113.3µm
_2060_,113.08µm
_0770_,112.71µm
net64,112.36µm
_1665_,112.24µm
_0698_,111.96µm
_1315_,111.96µm
_1245_,111.94µm
_2156_,111.94µm
net44,111.285µm
_0690_,111µm
_1793_,110.955µm
_0768_,110.85µm
_2145_,110.48µm
_2026_,109.96µm
_1597_,109.92µm
clknet_leaf_7_CLK,109.88µm
_1927_,109.32µm
_1282_,109.24µm
net125,108.22µm
_1188_,108.17µm
_0839_,107.3µm
clknet_leaf_3_CLK,107.2µm
_1157_,106.92µm
_1954_,106.71µm
_0519_,106.545µm
_1813_,106.45µm
_1342_,106.38µm
_1161_,105.705µm
_2038_,105.7µm
_1532_,105.48µm
_0628_,105.28µm
clknet_leaf_5_CLK,105.25µm
_2078_,104.76µm
_1724_,104.535µm
_0608_,104.46µm
clknet_leaf_19_CLK,104.18µm
_1136_,103.68µm
_1262_,102.86µm
_1063_,102.34µm
_0853_,101.9µm
_0767_,100.16µm
clknet_leaf_11_CLK,100.16µm
_1998_,100.06µm
_1547_,99.88µm
net66,99.74µm
_0550_,99.68µm
_1914_,99.22µm
_1164_,98.78µm
_2169_,98.66µm
_1751_,98.42µm
_2011_,98.3µm
_1128_,98.02µm
_2084_,97.68µm
_2383_,97.64µm
clknet_leaf_21_CLK,96.96µm
RESULT_MEM\[2\],96.865µm
clknet_leaf_35_CLK,96.66µm
_0714_,96.3µm
clknet_leaf_37_CLK,96.04µm
net128,95.98µm
_1127_,95.81µm
RESULT_ALU\[5\],95.78µm
_0666_,95.72µm
RESULT_MEM\[3\],95.695µm
_1529_,95.6µm
_1848_,95.535µm
net45,95.445µm
clknet_leaf_4_CLK,95.295µm
_1533_,95.27µm
clknet_leaf_30_CLK,94.88µm
_0854_,94.76µm
_1499_,94.4µm
clknet_leaf_33_CLK,94.22µm
_1171_,94.14µm
_0851_,94µm
_0842_,93.845µm
clknet_leaf_39_CLK,93.5µm
RESULT_MEM\[0\],93.125µm
_1102_,92.58µm
_1625_,92.58µm
_1482_,92.54µm
_2110_,92.54µm
_1847_,92.22µm
_1250_,91.54µm
REG_COND\[1\],91.5µm
_2207_,91.22µm
net60,90.76µm
clknet_leaf_23_CLK,90.62µm
_1977_,90.28µm
clknet_leaf_29_CLK,90.26µm
_1441_,89.32µm
_0560_,89.26µm
_1962_,89.14µm
_1274_,89.09µm
clknet_leaf_13_CLK,88.67µm
REG_COND\[0\],88.525µm
clknet_leaf_32_CLK,88.45µm
_0766_,87.6µm
_0857_,87.58µm
_1469_,87.54µm
_1984_,86.66µm
clknet_leaf_6_CLK,86.655µm
clknet_leaf_36_CLK,86.3µm
net55,86.11µm
clknet_leaf_8_CLK,86.01µm
_0279_,85.91µm
_2181_,85.12µm
_1996_,85.08µm
_1233_,85.04µm
INSTR\[28\],84.94µm
_0824_,84.94µm
clknet_leaf_17_CLK,84.3µm
_2382_,84.08µm
clknet_leaf_16_CLK,83.92µm
_0849_,83.9µm
_1690_,83.8µm
_0841_,83.54µm
_1258_,83.48µm
_1260_,83.45µm
_0765_,83.43µm
net65,83.42µm
_1763_,83.42µm
clknet_leaf_34_CLK,83.42µm
clknet_leaf_9_CLK,83.415µm
_1179_,83.335µm
net61,83.2µm
clknet_leaf_18_CLK,82.94µm
_1506_,82.92µm
_1123_,82.875µm
_1660_,82.56µm
_1313_,82.36µm
_1440_,82.32µm
net62,82.05µm
_1418_,81.72µm
_2194_,81.62µm
_2104_,81.6µm
_2387_,81.43µm
_0730_,81.16µm
_0855_,81.145µm
_0655_,80.36µm
_0280_,79.74µm
net54,79.42µm
clknet_leaf_2_CLK,79.32µm
clknet_leaf_1_CLK,79.22µm
_1222_,79.06µm
_1148_,79.02µm
_1321_,78.9µm
RESULT_MEM\[4\],78.845µm
clknet_leaf_31_CLK,78.68µm
_1829_,78.54µm
_1056_,77.68µm
clknet_leaf_15_CLK,77.68µm
clknet_leaf_41_CLK,77.68µm
_1600_,77.56µm
_0594_,77.5µm
_1261_,77.24µm
_0721_,76.82µm
_1317_,76.76µm
clknet_leaf_28_CLK,76.42µm
_1476_,76.41µm
net38,75.55µm
clknet_leaf_25_CLK,75.4µm
clknet_leaf_20_CLK,75.23µm
_1172_,75.08µm
_2027_,75.07µm
_2133_,74.84µm
_1924_,74.8µm
_1202_,74.78µm
_2417_,74.74µm
_1129_,74.45µm
_0531_,74.4µm
_1840_,74.27µm
_1770_,73.88µm
_1249_,73.41µm
STATE\[6\],73.37µm
_2106_,73.18µm
_1214_,73.105µm
INSTR\[20\],73.04µm
_1055_,72.615µm
_0586_,72.445µm
_0852_,72.12µm
_1203_,71.8µm
_2058_,71µm
_1792_,70.96µm
_1850_,70.66µm
_2092_,70.52µm
_1978_,70.16µm
_1237_,70µm
clknet_leaf_26_CLK,69.96µm
clknet_leaf_40_CLK,69.86µm
_1745_,69.83µm
_1852_,69.66µm
_0450_,69.39µm
JMP_STREAM_COUNT,69.13µm
RESULT_SYS\[15\],69.01µm
_0720_,68.94µm
_0858_,68.8µm
_1866_,68.78µm
_2219_,68.76µm
clknet_leaf_12_CLK,68.56µm
_1960_,68.48µm
_1312_,68.37µm
net68,68.12µm
_0894_,67.64µm
net63,67.57µm
_1883_,67.48µm
_0012_,67.455µm
_0843_,66.72µm
_2023_,66.66µm
clknet_leaf_0_CLK,66.6µm
_1524_,65.7µm
_2066_,65.66µm
_0939_,65.655µm
_1199_,65.52µm
_0444_,65.28µm
_1361_,65.16µm
_0277_,65.105µm
REG_COND\[2\],65.1µm
RESULT_SYS\[12\],64.68µm
_1555_,64.54µm
_1559_,64.54µm
_2076_,64.5µm
_0497_,64.475µm
_1119_,64.345µm
net39,64.17µm
_0764_,64.14µm
_0856_,63.9µm
_2094_,63.58µm
RESULT_SYS\[11\],63.54µm
_0542_,63.48µm
_1523_,63.095µm
_0432_,62.96µm
_1531_,62.84µm
_1187_,62.18µm
_0568_,61.86µm
_1985_,61.6µm
_1569_,61.22µm
_1176_,60.84µm
_0848_,60.82µm
INSTR\[21\],60.56µm
_2093_,60.46µm
_1585_,60.44µm
_1322_,60.36µm
_1221_,60.1µm
_2025_,59.74µm
_0845_,59.67µm
_1550_,58.905µm
_2412_,58.86µm
_2050_,58.54µm
_1174_,58.48µm
_1546_,58.38µm
_0847_,58.155µm
_0746_,58.14µm
_0762_,57.72µm
_0574_,57.44µm
_1124_,57.36µm
STATE\[2\],57.3µm
_1702_,57.12µm
_0625_,56.6µm
_0803_,56.52µm
_1791_,56.46µm
_0626_,56.35µm
_2356_,56.18µm
_1635_,56.14µm
_1648_,56.12µm
_1430_,56.04µm
net56,55.84µm
_2131_,55.84µm
_1684_,55.8µm
_0551_,55.53µm
_2089_,55.46µm
net69,55.44µm
_1314_,55.02µm
_1507_,54.92µm
_2071_,54.7µm
RESULT_SYS\[1\],54.6µm
_0850_,54.53µm
_2379_,54.36µm
clknet_leaf_22_CLK,53.54µm
_0830_,53.36µm
_1366_,53.3µm
_0706_,53.22µm
_1713_,53.02µm
RESULT_SYS\[13\],52.75µm
_1854_,52.72µm
net80,52.42µm
_1293_,52.38µm
INSTR\[29\],52.325µm
_1359_,51.96µm
_1622_,51.9µm
_0873_,51.86µm
_1711_,51.6µm
_0480_,51.22µm
_1839_,50.94µm
_1582_,50.17µm
_0447_,50.08µm
RESULT_ALU\[9\],49.92µm
_1213_,49.74µm
_1733_,49.72µm
_1963_,49.7µm
_2415_,49.64µm
RESULT_SYS\[14\],49.485µm
_0872_,49.46µm
_0761_,49.06µm
_1877_,49.02µm
_1658_,48.82µm
_2013_,48.72µm
_0846_,48.61µm
_2048_,48.54µm
_2355_,48.48µm
_2201_,48.44µm
net70,48.34µm
_2144_,48.34µm
_1236_,48.06µm
_0825_,47.86µm
_1926_,47.76µm
_1191_,47.62µm
net37,47.57µm
_1145_,47.55µm
_2040_,47.4µm
_2121_,47.36µm
_0704_,47.32µm
RESULT_SYS\[6\],47.305µm
_1661_,47.25µm
_1470_,47.24µm
_0275_,47.02µm
_0999_,46.72µm
_1398_,46.2µm
_0869_,46.12µm
_1135_,46.12µm
_0950_,45.98µm
_0613_,45.78µm
_1210_,45.7µm
_0826_,45.5µm
_0282_,45.365µm
_2163_,45.24µm
_1601_,45.22µm
_1104_,45.18µm
_1573_,45.04µm
_1225_,44.83µm
RESULT_MEM\[8\],44.77µm
_1347_,44.68µm
net58,44.64µm
_0015_,44.365µm
_0664_,44.24µm
_1735_,44.1µm
_0796_,44.04µm
_0946_,44µm
_1378_,43.76µm
_2072_,43.76µm
_2385_,43.46µm
_1674_,43.225µm
_2376_,42.92µm
_1519_,42.8µm
_0532_,42.4µm
RESULT_SYS\[8\],42.33µm
_1180_,42.22µm
_1619_,42.06µm
_2192_,42.04µm
_1772_,41.9µm
_1542_,41.68µm
_0823_,41.48µm
INSTR\[31\],41.42µm
_1586_,41.42µm
_0472_,41.335µm
_1754_,41.26µm
_0951_,41.24µm
_0558_,41.22µm
_1175_,41.165µm
_0614_,41.08µm
_2399_,40.8µm
_0612_,40.76µm
REG_COND\[3\],40.74µm
_2397_,40.66µm
_1995_,40.6µm
_1572_,40.48µm
_2132_,40.4µm
_1818_,40.32µm
_1669_,40.24µm
net79,40.2µm
_1904_,40.18µm
_2115_,39.955µm
_2130_,39.94µm
_2074_,39.86µm
_0584_,39.69µm
_1514_,39.62µm
_0678_,39.42µm
_1615_,39.36µm
_2375_,39.3µm
_1564_,39.18µm
net57,39.06µm
_1764_,39.06µm
_2217_,39µm
RESULT_MEM\[12\],38.8µm
_2381_,38.78µm
_2123_,38.72µm
_0648_,38.62µm
_1118_,38.56µm
_0640_,38.2µm
RESULT_SYS\[0\],38.09µm
_2291_,37.82µm
INSTR\[16\],37.75µm
INSTR\[30\],37.14µm
_1782_,37.1µm
_0610_,37.09µm
_0276_,37.02µm
RESULT_SYS\[10\],36.935µm
_1712_,36.88µm
net81,36.52µm
_1720_,36.5µm
_1355_,36.48µm
REG_FILE\[11\]\[0\],36.46µm
_2150_,36.44µm
_2154_,36.32µm
_0556_,36.24µm
_1273_,35.97µm
_1163_,35.86µm
_0573_,35.54µm
_0599_,35.34µm
_0448_,35.2µm
_0827_,35.2µm
_1798_,35.16µm
_1305_,35µm
_2095_,34.92µm
_1490_,34.9µm
REG_DEST\[0\],34.75µm
_1750_,34.6µm
REG_DEST\[2\],34.39µm
_2057_,34.16µm
_0786_,34.1µm
net48,34.05µm
_0753_,33.9µm
_1038_,33.86µm
_1650_,33.84µm
_1224_,33.81µm
_1165_,33.76µm
_1609_,33.64µm
_2373_,33.58µm
_1591_,33.56µm
REG_FILE\[12\]\[7\],33.42µm
_0623_,33.22µm
_0485_,33.16µm
_0566_,33.06µm
_0632_,33.06µm
_0882_,32.88µm
_2418_,32.84µm
_1166_,32.82µm
_0672_,32.76µm
_1895_,32.76µm
_1358_,32.72µm
REG_FILE\[11\]\[9\],32.64µm
_0866_,32.58µm
_2096_,32.56µm
_0437_,32.54µm
_1628_,32.4µm
REG_FILE\[11\]\[8\],32.29µm
REG_FILE\[1\]\[6\],32.26µm
REG_FILE\[5\]\[3\],32.04µm
_1691_,31.94µm
_2164_,31.94µm
_0777_,31.9µm
REG_DEST\[1\],31.87µm
RESULT_SYS\[7\],31.76µm
_1822_,31.66µm
_1405_,31.56µm
_0754_,31.5µm
REG_COND\[5\],31.48µm
_0787_,31.45µm
_1694_,31.3µm
_0736_,31.24µm
_1644_,31.2µm
_1360_,31.18µm
REG_FILE\[8\]\[3\],31.06µm
REG_FILE\[13\]\[3\],31.04µm
_0615_,30.98µm
_1298_,30.92µm
REG_FILE\[13\]\[7\],30.76µm
_2196_,30.74µm
REG_COND\[4\],30.66µm
REG_FILE\[6\]\[9\],30.58µm
_1451_,30.52µm
_1189_,30.34µm
_0554_,30.3µm
_0763_,30.2µm
_2297_,30.16µm
_1739_,30µm
REG_FILE\[0\]\[3\],29.92µm
REG_FILE\[6\]\[3\],29.86µm
_0902_,29.78µm
REG_FILE\[8\]\[15\],29.76µm
_1983_,29.7µm
INSTR_STREAM[30],29.66µm
REG_FILE\[12\]\[4\],29.46µm
REG_FILE\[9\]\[8\],29.44µm
RESULT_SYS\[5\],29.375µm
REG_FILE\[1\]\[10\],29.32µm
REG_FILE\[12\]\[3\],29.31µm
_1284_,29.24µm
INSTR\[22\],29.22µm
_1663_,29.18µm
MEM_LD_DATA[4],29.06µm
MEM_LD_DATA[2],28.98µm
_1491_,28.96µm
REG_FILE\[3\]\[1\],28.94µm
INSTR_STREAM[26],28.9µm
MEM_LD_DATA[7],28.9µm
INSTR\[17\],28.88µm
_1160_,28.78µm
REG_FILE\[3\]\[8\],28.72µm
_1194_,28.7µm
REG_DEST\[3\],28.555µm
_0597_,28.55µm
JMP_DEST\[15\],28.36µm
REG_FILE\[9\]\[1\],28.36µm
REG_FILE\[9\]\[6\],28.28µm
_0709_,28.22µm
INSTR_STREAM[25],28.22µm
REG_FILE\[0\]\[6\],28.16µm
REG_FILE\[12\]\[12\],28.16µm
REG_FILE\[11\]\[15\],27.88µm
_0627_,27.88µm
REG_FILE\[5\]\[15\],27.84µm
MEM_LD_DATA[9],27.82µm
_0435_,27.8µm
_0742_,27.8µm
_1272_,27.72µm
_1018_,27.715µm
REG_FILE\[9\]\[12\],27.68µm
_1834_,27.68µm
INSTR_STREAM[24],27.68µm
_0883_,27.66µm
_0620_,27.57µm
_1340_,27.56µm
REG_FILE\[10\]\[15\],27.38µm
INSTR_STREAM[27],27.38µm
INSTR_STREAM[29],27.38µm
REG_FILE\[9\]\[10\],27.32µm
REG_FILE\[12\]\[0\],27.3µm
RESULT_ALU\[11\],27.29µm
REG_FILE\[5\]\[4\],27.2µm
_1485_,27.14µm
_1368_,27.06µm
REG_FILE\[10\]\[9\],27.05µm
REG_FILE\[10\]\[7\],27.02µm
_0689_,27.02µm
_2103_,27.02µm
REG_FILE\[13\]\[9\],27µm
REG_FILE\[1\]\[3\],26.82µm
MAIN_LDH,26.8µm
REG_FILE\[1\]\[11\],26.74µm
_1642_,26.72µm
REG_COND\[8\],26.7µm
RESULT_MEM\[7\],26.64µm
net34,26.635µm
REG_FILE\[14\]\[11\],26.49µm
REG_FILE\[11\]\[3\],26.48µm
INSTR_STREAM[31],26.46µm
REG_FILE\[7\]\[4\],26.44µm
REG_FILE\[9\]\[0\],26.36µm
_1077_,26.36µm
REG_FILE\[1\]\[15\],26.34µm
REG_FILE\[13\]\[15\],26.28µm
REG_FILE\[14\]\[14\],26.28µm
RESULT_SYS\[9\],26.27µm
_1382_,26.26µm
REG_FILE\[7\]\[7\],26.18µm
REG_FILE\[11\]\[4\],26.15µm
_1475_,26.14µm
_1979_,26.08µm
REG_FILE\[1\]\[13\],26.06µm
_0779_,26.03µm
_0817_,26.02µm
REG_FILE\[1\]\[1\],26µm
REG_FILE\[13\]\[4\],25.96µm
REG_FILE\[5\]\[0\],25.96µm
REG_FILE\[0\]\[15\],25.92µm
REG_FILE\[11\]\[1\],25.92µm
REG_FILE\[5\]\[9\],25.92µm
REG_FILE\[6\]\[15\],25.92µm
REG_FILE\[5\]\[6\],25.84µm
MEM_LD_DATA[11],25.84µm
REG_FILE\[1\]\[5\],25.8µm
REG_FILE\[8\]\[2\],25.8µm
net42,25.79µm
REG_FILE\[5\]\[11\],25.77µm
REG_FILE\[3\]\[7\],25.76µm
DEVICES_LDH,25.74µm
_1610_,25.72µm
_1951_,25.68µm
_1338_,25.64µm
_1178_,25.635µm
JMP_DEST\[13\],25.585µm
_0482_,25.52µm
REG_FILE\[4\]\[10\],25.51µm
net99,25.5µm
_2265_,25.485µm
REG_FILE\[2\]\[14\],25.47µm
REG_FILE\[9\]\[9\],25.41µm
_1190_,25.4µm
MEM_LD_DATA[15],25.38µm
_0868_,25.36µm
_1263_,25.36µm
REG_FILE\[13\]\[2\],25.33µm
REG_FILE\[8\]\[10\],25.3µm
REG_FILE\[1\]\[12\],25.24µm
_0643_,25.22µm
_0513_,25.12µm
REG_FILE\[14\]\[3\],25.1µm
REG_COND\[11\],25.04µm
REG_FILE\[3\]\[14\],25.04µm
REG_FILE\[7\]\[11\],25.04µm
REG_FILE\[9\]\[2\],25.04µm
_1666_,25.04µm
INSTR_ADDR[3],25.03µm
INSTR_ADDR[4],25.03µm
_0712_,25.02µm
REG_FILE\[13\]\[12\],24.96µm
_1510_,24.96µm
_1554_,24.94µm
REG_FILE\[4\]\[15\],24.93µm
_0738_,24.92µm
REG_FILE\[7\]\[0\],24.89µm
_1310_,24.89µm
INSTR_STREAM[2],24.87µm
REG_FILE\[8\]\[12\],24.84µm
REG_FILE\[1\]\[14\],24.76µm
_1869_,24.76µm
INSTR_ADDR[0],24.75µm
_1800_,24.7µm
REG_FILE\[2\]\[3\],24.68µm
REG_FILE\[6\]\[8\],24.68µm
_1486_,24.68µm
REG_FILE\[11\]\[10\],24.64µm
REG_FILE\[7\]\[3\],24.62µm
MEM_LD_DATA[3],24.62µm
DEVICES_STRH,24.58µm
_1248_,24.54µm
_1072_,24.48µm
REG_FILE\[13\]\[14\],24.38µm
net100,24.34µm
net4,24.32µm
_1734_,24.26µm
RESULT_SYS\[4\],24.23µm
REG_FILE\[4\]\[3\],24.22µm
INSTR_ADDR[2],24.21µm
_0451_,24.14µm
REG_FILE\[13\]\[13\],24.13µm
REG_FILE\[10\]\[12\],24.1µm
_1238_,24.02µm
_1736_,24.02µm
REG_FILE\[5\]\[5\],23.96µm
MAIN_STRH,23.94µm
REG_FILE\[14\]\[7\],23.74µm
MEM_STR_DATA[9],23.67µm
_0517_,23.59µm
REG_FILE\[9\]\[4\],23.56µm
_2296_,23.56µm
_1593_,23.54µm
REG_FILE\[14\]\[12\],23.52µm
REG_FILE\[14\]\[15\],23.52µm
_0545_,23.52µm
REG_FILE\[7\]\[2\],23.5µm
REG_FILE\[8\]\[6\],23.48µm
REG_FILE\[8\]\[7\],23.48µm
RESET,23.46µm
_2065_,23.34µm
REG_COND\[7\],23.32µm
REG_FILE\[5\]\[8\],23.32µm
REG_FILE\[1\]\[9\],23.28µm
_0728_,23.28µm
MEM_ADDR[14],23.28µm
REG_FILE\[6\]\[11\],23.22µm
MEM_LD_DATA[0],23.08µm
_2370_,23.06µm
REG_FILE\[0\]\[4\],23.02µm
_1775_,22.98µm
REG_FILE\[12\]\[8\],22.94µm
REG_FILE\[1\]\[2\],22.94µm
_1086_,22.9µm
INSTR_ADDR[8],22.9µm
_0697_,22.82µm
_2322_,22.8µm
STATE\[5\],22.76µm
_0510_,22.74µm
_0525_,22.72µm
_1300_,22.72µm
REG_FILE\[2\]\[2\],22.64µm
REG_FILE\[9\]\[15\],22.64µm
REG_FILE\[8\]\[4\],22.62µm
RESULT_ALU\[6\],22.615µm
REG_FILE\[11\]\[2\],22.58µm
REG_FILE\[12\]\[5\],22.56µm
REG_FILE\[4\]\[5\],22.52µm
REG_FILE\[5\]\[7\],22.5µm
_1965_,22.5µm
INSTR_STREAM[19],22.49µm
MEM_LD_DATA[5],22.49µm
REG_FILE\[2\]\[12\],22.44µm
MAIN_LDW,22.44µm
REG_FILE\[8\]\[9\],22.42µm
REG_FILE\[9\]\[7\],22.42µm
DEVICES_LDW,22.4µm
REG_FILE\[8\]\[0\],22.38µm
REG_COND\[14\],22.37µm
_0792_,22.355µm
INSTR_STREAM[16],22.35µm
REG_FILE\[6\]\[7\],22.32µm
MEM_LD_DATA[14],22.32µm
REG_FILE\[0\]\[10\],22.31µm
_1256_,22.28µm
REG_FILE\[2\]\[4\],22.26µm
JMP_DEST\[7\],22.23µm
_0593_,22.22µm
_0624_,22.18µm
_0844_,22.18µm
_0979_,22.18µm
REG_FILE\[10\]\[8\],22.16µm
REG_FILE\[5\]\[2\],22.16µm
INSTR_STREAM[9],22.16µm
REG_FILE\[8\]\[1\],22.12µm
INSTR_STREAM[18],22.09µm
_1402_,22.08µm
REG_FILE\[5\]\[10\],22.06µm
_1231_,22.06µm
REG_FILE\[11\]\[6\],22.04µm
REG_FILE\[8\]\[8\],22.04µm
_1143_,22µm
_1580_,22µm
INSTR\[23\],21.98µm
INSTR_ADDR[7],21.98µm
_1142_,21.96µm
net97,21.9µm
_0557_,21.86µm
_1922_,21.86µm
_2173_,21.86µm
REG_FILE\[3\]\[2\],21.82µm
REG_FILE\[7\]\[15\],21.74µm
_1563_,21.7µm
_1837_,21.7µm
REG_FILE\[1\]\[8\],21.68µm
INSTR_ADDR[5],21.64µm
MEM_LD_DATA[1],21.62µm
REG_FILE\[10\]\[11\],21.61µm
_2014_,21.565µm
_1021_,21.56µm
INSTR_ADDR[9],21.56µm
_0673_,21.52µm
REG_FILE\[10\]\[3\],21.46µm
_2317_,21.46µm
REG_FILE\[12\]\[9\],21.44µm
_0810_,21.44µm
REG_FILE\[3\]\[9\],21.42µm
_1301_,21.42µm
REG_FILE\[14\]\[0\],21.4µm
REG_FILE\[4\]\[0\],21.34µm
REG_FILE\[9\]\[14\],21.32µm
REG_FILE\[7\]\[8\],21.28µm
REG_FILE\[14\]\[6\],21.26µm
REG_COND\[10\],21.245µm
REG_FILE\[13\]\[11\],21.24µm
REG_FILE\[7\]\[9\],21.24µm
MEM_LD_DATA[13],21.24µm
_0931_,21.22µm
