net,length_um
net163,931.65µm
net159,834.61µm
net156,817.43µm
_2357_,689.64µm
net162,683.425µm
net110,652.96µm
_0583_,646.265µm
_0569_,623.55µm
_0006_,615.63µm
_1450_,591.315µm
_0459_,551.82µm
_0595_,549.17µm
_0481_,543.165µm
_2378_,539.5µm
_0433_,533.165µm
_0470_,520.58µm
_2359_,519.91µm
net166,511.55µm
_2374_,499.87µm
_0445_,499.785µm
_2372_,499.31µm
_2369_,493.49µm
_2401_,479.15µm
net157,467.19µm
_2413_,466.63µm
_0791_,463.92µm
_2360_,463.18µm
_1453_,462.925µm
INSTR\[24\],450.125µm
_1333_,443.72µm
net49,443.71µm
_0001_,442.5µm
_2367_,434.82µm
_0493_,433.48µm
_2362_,431.63µm
STATE\[3\],425.795µm
net164,420.36µm
_0609_,418.06µm
_0811_,416.65µm
IMM\[2\],413.1µm
_0471_,410.54µm
_1324_,409.04µm
_0011_,405.13µm
clknet_2_1__leaf_CLK,403.57µm
net131,403.45µm
net111,401.97µm
_0005_,401.89µm
net115,400.49µm
_0806_,398.63µm
_0797_,397.22µm
net165,395.83µm
_0003_,393.12µm
net160,390.57µm
_2363_,388.38µm
net155,388.01µm
_0007_,386.08µm
net144,385.685µm
net143,384.22µm
net123,383.93µm
IMM\[1\],383.44µm
INSTR\[26\],383.435µm
clknet_2_0__leaf_CLK,382.29µm
_2358_,379.15µm
_0492_,378.7µm
_0804_,376.98µm
_0793_,375.3µm
_1443_,372.965µm
_0784_,372.48µm
_2361_,371.08µm
_1150_,361.72µm
INSTR\[25\],361.62µm
_2392_,361.53µm
_0802_,360.09µm
_0813_,355.13µm
_0795_,351.15µm
net134,348.86µm
net114,346.69µm
net150,345.68µm
IMM\[0\],344.4µm
_0446_,343.05µm
net130,339.875µm
IMM\[15\],339.5µm
net148,336.2µm
_0809_,335.79µm
_0527_,334.99µm
net124,334.19µm
net133,333.89µm
_0002_,332.68µm
_2414_,332.17µm
_0816_,332.11µm
net132,328.06µm
net109,327.45µm
_2366_,325.28µm
net117,325.19µm
net147,324.16µm
clknet_2_2__leaf_CLK,324.09µm
_0009_,320.43µm
net161,320.43µm
IMM\[3\],319.14µm
net136,319.115µm
_0506_,318µm
_0004_,317.06µm
net118,316.18µm
_2391_,316.13µm
net113,314.56µm
net116,313.72µm
_1326_,312.77µm
net167,312.05µm
_0800_,311.09µm
net129,309.13µm
net146,308.5µm
net158,305.44µm
_0515_,305.34µm
_2368_,303.1µm
net108,302.79µm
clknet_0_CLK,296.19µm
net145,284.29µm
net135,281.82µm
IMM\[4\],280.7µm
INSTR\[27\],277.61µm
IMM\[8\],271.1µm
net149,269.02µm
_1108_,268.94µm
_1445_,268.79µm
IMM\[7\],264.78µm
_0540_,264.24µm
_0000_,263.06µm
_0822_,261.135µm
_0008_,259.52µm
net151,257.86µm
net153,256.535µm
IMM\[14\],255.32µm
IMM\[9\],253.13µm
_1328_,250.505µm
_0679_,246.25µm
IMM\[11\],245.85µm
CLK,244.59µm
_1452_,243.595µm
_2080_,243.4µm
_1149_,242.43µm
_2377_,242.14µm
_0820_,240.87µm
_1449_,239.53µm
_0631_,238.33µm
_0671_,237.62µm
_0840_,233.01µm
_0838_,232.45µm
_0759_,231.75µm
_1444_,231.37µm
_0818_,231.185µm
_1083_,231.16µm
_1980_,229.275µm
_0860_,228.4µm
_0663_,224.42µm
net152,222.645µm
IMM\[10\],222.29µm
_0719_,222.26µm
_2222_,221.8µm
IMM\[5\],221.4µm
net138,218.6µm
IMM\[12\],218.22µm
net137,218.115µm
_1092_,217.95µm
_0541_,214.88µm
_0727_,214.42µm
RESULT_MEM_EN,212.35µm
RESULT_ALU_EN,210.345µm
IMM\[6\],210.26µm
_1246_,210.18µm
_1325_,209.275µm
_2221_,208.24µm
net126,201.775µm
_1856_,197.8µm
_0516_,196.255µm
_0735_,196µm
_0687_,193.82µm
_1327_,192.85µm
_1234_,192.43µm
_0711_,191.95µm
net119,189.8µm
_0835_,188.935µm
IMM\[13\],188.515µm
_1833_,186.38µm
net141,186.28µm
_0828_,186.12µm
_0954_,185.84µm
clknet_2_3__leaf_CLK,184.16µm
_0526_,182.58µm
net122,181.26µm
_1064_,179.72µm
_0695_,179.36µm
RESULT_SYS_EN,179.185µm
_0596_,179.1µm
_0514_,178.92µm
_1623_,178.85µm
net142,177.24µm
_1319_,176.4µm
_1259_,175.88µm
_1271_,175.62µm
net120,174.15µm
_2365_,173.51µm
net121,172.9µm
_0434_,172.5µm
_0836_,170.4µm
_1074_,169.88µm
_1082_,169.5µm
_2402_,166.77µm
_1655_,166.61µm
_1605_,165.59µm
_1551_,164.96µm
_0650_,164.71µm
_1316_,164.635µm
_0642_,164.565µm
_0743_,163.39µm
_0570_,162.93µm
net140,162.7µm
net139,161.855µm
_1073_,161.62µm
_0832_,160.22µm
net154,159.225µm
_2371_,159.2µm
_0833_,158.42µm
_0831_,158.365µm
_0829_,158.08µm
_1275_,155.38µm
_0561_,154.41µm
_0639_,154.22µm
_1294_,153.6µm
_1587_,152.79µm
_1093_,151.38µm
_0876_,150.925µm
_1158_,149.42µm
_1283_,146.03µm
net112,143.96µm
_0834_,143.54µm
_0949_,142.52µm
_1964_,142.52µm
_0751_,142.44µm
_0703_,141.38µm
_1391_,140.36µm
_1084_,139.445µm
_0539_,139.42µm
net71,138.385µm
_1336_,137.7µm
_1116_,135.76µm
_0634_,133.22µm
_1539_,132.48µm
net67,131.34µm
_1091_,129.8µm
_1320_,129.62µm
_1211_,129.6µm
_0607_,128.94µm
clknet_leaf_10_CLK,126.62µm
_1365_,126.28µm
_0458_,125.72µm
_1117_,125.67µm
net127,125.42µm
_0622_,124.795µm
_0861_,124.32µm
_1703_,124.28µm
_1270_,124.15µm
_1226_,123.85µm
_1497_,122.96µm
_0788_,121.42µm
_1286_,121.405µm
_0582_,120.74µm
_1386_,120.59µm
_1647_,120.47µm
