net,length_um
IMM\[3\],322.92µm
_0809_,322.24µm
net155,320.105µm
_1326_,318.91µm
net116,314.4µm
net123,312.06µm
net109,308.43µm
_0506_,307.04µm
_0836_,306.85µm
net115,305.64µm
clknet_2_2__leaf_CLK,301.08µm
_0800_,300.9µm
_0832_,299.5µm
_2391_,299.465µm
_2368_,292.48µm
_0515_,291.36µm
_0834_,290.62µm
INSTR\[27\],286.16µm
IMM\[4\],286µm
clknet_0_CLK,285.37µm
_0822_,282.79µm
net142,278.945µm
IMM\[8\],277.31µm
_0818_,276.44µm
_1108_,273.84µm
_1445_,273.58µm
net138,269.89µm
_0540_,267.73µm
_0820_,265.395µm
IMM\[7\],262.78µm
net144,259.54µm
_1149_,250.84µm
IMM\[14\],249.22µm
IMM\[9\],248.715µm
_1328_,246.97µm
CLK,245.59µm
_0679_,244.005µm
_0719_,243.94µm
_0631_,243.885µm
_2080_,242.36µm
net130,239.945µm
_1452_,236.875µm
IMM\[11\],236.66µm
_1449_,235.32µm
_2222_,233.565µm
_0759_,228.82µm
_0671_,226.98µm
net120,226.78µm
_0860_,225.8µm
IMM\[12\],224.87µm
_0840_,224.375µm
_0663_,223.59µm
IMM\[5\],222.865µm
RESULT_MEM_EN,222.42µm
_1980_,219.36µm
net145,218.94µm
_0838_,218.78µm
_1083_,217.7µm
IMM\[10\],213.91µm
net131,213.73µm
_1829_,213.505µm
_0541_,213.2µm
_1444_,212.86µm
IMM\[6\],212.28µm
_0727_,212.21µm
_1246_,209.92µm
_1325_,208.79µm
_1092_,207.115µm
RESULT_ALU_EN,202.305µm
_0735_,198.63µm
_2221_,197.92µm
_0687_,196.06µm
_1327_,195.97µm
_0516_,195.135µm
_0001_,195.02µm
clknet_2_3__leaf_CLK,193.88µm
_1234_,192.09µm
_0711_,191.86µm
IMM\[13\],191.62µm
_0828_,189.205µm
_1833_,187.34µm
RESULT_SYS_EN,182.985µm
_0526_,182.3µm
_0596_,182.01µm
net119,181.64µm
_1856_,180.175µm
_0835_,179.84µm
_1623_,177.52µm
_0833_,177.21µm
_1064_,177.175µm
_0695_,176.72µm
net134,175.95µm
_0954_,175.84µm
_1259_,175.08µm
_1319_,173.44µm
_0514_,173.43µm
_0831_,172.79µm
net132,172.79µm
_1271_,172.54µm
_1655_,172.44µm
net135,170.865µm
_2402_,168.31µm
_0570_,166.62µm
_2365_,166.27µm
_1082_,165.82µm
_0434_,165.7µm
_0650_,165.405µm
_0642_,164.665µm
_1316_,164.415µm
net147,163.03µm
_1074_,162.34µm
_1587_,161.8µm
_0743_,159.535µm
_1605_,158.22µm
_1073_,157.6µm
net133,157.04µm
_2371_,156.14µm
net122,154.98µm
_1275_,152.62µm
_0639_,152.2µm
_1294_,151.88µm
_1551_,150.44µm
_1283_,149.96µm
_1158_,148.84µm
_0949_,146.56µm
_1157_,145.98µm
net71,143.61µm
_0561_,143.53µm
_1093_,143.44µm
_1084_,142.65µm
_0751_,141.5µm
_0634_,139.745µm
_1336_,139.74µm
_1116_,139.38µm
_1964_,138.28µm
_1391_,137.25µm
_0703_,136.08µm
_0539_,135.74µm
_1320_,134.71µm
_0876_,134.355µm
_1286_,134.085µm
_1539_,130.42µm
_1365_,129.96µm
_1703_,128.88µm
_1091_,126.46µm
_1497_,123.05µm
_2377_,122.84µm
_1066_,121.74µm
_2062_,121.6µm
_0789_,121.505µm
_0647_,121.36µm
_1498_,121.36µm
_1226_,120.84µm
_1647_,120.47µm
_0458_,119.66µm
_2405_,119.425µm
_1200_,119.12µm
_0874_,118.7µm
_2033_,118.4µm
clknet_leaf_14_CLK,118µm
_1636_,117.53µm
_1270_,117.42µm
_0469_,116.68µm
_0622_,116.48µm
_0504_,115.56µm
_0658_,115.26µm
_1685_,115.15µm
_0682_,115µm
net121,114.02µm
_0582_,114µm
net67,113.92µm
_1211_,113.62µm
_0505_,113.6µm
_0519_,112.76µm
_1793_,112.71µm
_0770_,112.46µm
_0698_,112.245µm
_0278_,112.12µm
_0608_,111.72µm
_0875_,111.14µm
net64,110.82µm
_2060_,110.44µm
_1188_,109.5µm
_0768_,109.4µm
_1342_,108.66µm
_1954_,108.46µm
_1315_,108.2µm
_0491_,108.1µm
_2145_,107.52µm
_1386_,107.24µm
_2038_,106.74µm
_0607_,106.66µm
net44,106.57µm
_1665_,106.52µm
clknet_leaf_7_CLK,106.25µm
_1927_,106.22µm
_1117_,106.13µm
_1813_,106.04µm
_2026_,105.88µm
_1245_,105.78µm
_1282_,105.56µm
clknet_leaf_24_CLK,104.94µm
_1597_,104.26µm
_0550_,104.1µm
clknet_leaf_12_CLK,104.08µm
_0788_,103.54µm
_1724_,102.9µm
net59,102.02µm
_1164_,101.59µm
net66,101.36µm
_2011_,101.19µm
RESULT_MEM\[1\],100.82µm
_1262_,100.78µm
_0690_,100.525µm
_0628_,100.46µm
_2156_,100.14µm
RESULT_MEM\[3\],100.105µm
_1751_,99.9µm
clknet_leaf_17_CLK,99.86µm
_0854_,99.77µm
_1136_,99.66µm
RESULT_MEM\[2\],99.345µm
_0861_,99.14µm
_1532_,98.96µm
_0714_,97.66µm
_1063_,97.64µm
RESULT_ALU\[5\],97.62µm
_1547_,97.6µm
_0767_,96.76µm
_0666_,96.64µm
_1102_,95.85µm
clknet_leaf_29_CLK,95.62µm
_2078_,95.54µm
_1274_,95.36µm
_2383_,94.98µm
REG_COND\[0\],94.92µm
clknet_leaf_18_CLK,94.84µm
_1625_,94.62µm
_1482_,94.5µm
_1128_,94.36µm
_1161_,94.095µm
_1529_,93.88µm
_1171_,93.86µm
net45,93.45µm
_1533_,93.43µm
clknet_leaf_1_CLK,93.07µm
_2084_,93µm
_1914_,92.75µm
_1848_,92.43µm
_1847_,92.42µm
_1172_,91.995µm
_1977_,91.88µm
REG_COND\[1\],91.6µm
_1250_,91.54µm
_0560_,90.72µm
_1998_,90.56µm
clknet_leaf_3_CLK,90.48µm
_1499_,90.06µm
_0841_,89.84µm
_0839_,89.3µm
_2110_,89.27µm
_0857_,89.23µm
_1996_,89µm
clknet_leaf_38_CLK,88.82µm
net60,88.4µm
clknet_leaf_15_CLK,88.32µm
_1469_,87.88µm
clknet_leaf_27_CLK,87.56µm
clknet_leaf_10_CLK,87.53µm
_0766_,87.24µm
_2207_,87.24µm
_2194_,87.04µm
_1984_,86.42µm
_0279_,86.25µm
_1260_,86.2µm
RESULT_MEM\[0\],86.18µm
_2382_,85.78µm
_0853_,85.615µm
_1441_,85.4µm
_0730_,85.055µm
_1962_,84.8µm
_1763_,84.34µm
_1127_,84.025µm
clknet_leaf_6_CLK,83.96µm
_2181_,83.94µm
clknet_leaf_35_CLK,83.66µm
clknet_leaf_9_CLK,83.62µm
clknet_leaf_39_CLK,83.5µm
clknet_leaf_5_CLK,83.34µm
_0655_,83.24µm
clknet_leaf_21_CLK,83.08µm
clknet_leaf_2_CLK,82.53µm
RESULT_MEM\[4\],82.525µm
net62,82.21µm
_1233_,81.7µm
_1418_,81.6µm
_0842_,81.385µm
net55,80.9µm
clknet_leaf_41_CLK,80.82µm
_1660_,80.14µm
_1222_,79.98µm
_1123_,79.85µm
_1055_,79.835µm
_1179_,79.69µm
clknet_leaf_19_CLK,79.66µm
_1056_,79.38µm
clknet_leaf_4_CLK,79.22µm
_0280_,78.82µm
_0765_,78.8µm
clknet_leaf_30_CLK,78.76µm
_2104_,78.38µm
_1506_,78.33µm
_1690_,78.28µm
_1214_,78.225µm
INSTR\[28\],78.18µm
clknet_leaf_11_CLK,77.9µm
_2169_,77.76µm
_0824_,77.485µm
net61,77.32µm
_2387_,77.285µm
_1440_,77.28µm
net65,76.82µm
_1203_,76.74µm
clknet_leaf_13_CLK,76.58µm
clknet_leaf_36_CLK,76.3µm
_1600_,76.18µm
net38,75.845µm
_1258_,75.78µm
_1476_,75.58µm
_1840_,75.5µm
_0450_,75.44µm
_2106_,75.32µm
_2417_,75.16µm
clknet_leaf_31_CLK,75.12µm
_2027_,75.07µm
_1261_,74.82µm
_1924_,74.8µm
_0531_,74.62µm
clknet_leaf_28_CLK,74.335µm
_1129_,74.32µm
_1883_,74.32µm
_1249_,74.07µm
_0594_,73.82µm
clknet_leaf_32_CLK,73.62µm
clknet_leaf_37_CLK,73.46µm
_1313_,73.33µm
_1770_,73.18µm
_1531_,72.6µm
clknet_leaf_33_CLK,72.4µm
_2133_,72.1µm
clknet_leaf_40_CLK,71.58µm
_0720_,70.98µm
INSTR\[20\],70.9µm
JMP_STREAM_COUNT,70.58µm
_1237_,70.54µm
net68,70.49µm
_1745_,70.49µm
net54,70.48µm
_0855_,70.27µm
_1852_,70.12µm
_2058_,69.98µm
clknet_leaf_20_CLK,69.7µm
_0721_,69.54µm
_1850_,69.28µm
_1978_,69.24µm
_2092_,69.24µm
clknet_leaf_23_CLK,69.24µm
_1312_,69.1µm
clknet_leaf_25_CLK,68.9µm
_0586_,68.465µm
_2023_,68.04µm
RESULT_SYS\[15\],67.85µm
_0849_,67.755µm
net39,67.39µm
clknet_leaf_8_CLK,67.32µm
_1148_,67.2µm
clknet_leaf_26_CLK,67.1µm
clknet_leaf_16_CLK,66.8µm
_0497_,66.42µm
_1792_,66.38µm
_2219_,66.22µm
_1361_,66.18µm
net63,65.775µm
_1555_,65.56µm
_1202_,65.31µm
_0277_,65.105µm
_1524_,64.78µm
_1523_,64.14µm
_0939_,63.6µm
_2076_,63.58µm
_1176_,63.46µm
_0542_,63.43µm
_1866_,62.96µm
_1960_,62.92µm
STATE\[6\],62.66µm
RESULT_SYS\[12\],62.345µm
_2066_,62.04µm
_0872_,62µm
_0012_,61.975µm
_1199_,61.84µm
_1985_,61.6µm
_0444_,61.26µm
_0764_,60.97µm
_1119_,60.87µm
_0894_,60.36µm
clknet_leaf_34_CLK,60.2µm
_2094_,60.14µm
REG_COND\[2\],60.08µm
_1559_,59.96µm
_1322_,59.92µm
_2089_,59.58µm
RESULT_SYS\[11\],59.41µm
_1550_,59.335µm
_1187_,59.08µm
_1585_,58.38µm
_2093_,58.38µm
_0568_,58.18µm
_2025_,58.14µm
_1713_,57.82µm
net56,57.74µm
_0845_,57.72µm
_1430_,57.64µm
_0746_,57.525µm
_2131_,57µm
_1546_,56.88µm
_0762_,56.7µm
_1684_,56.68µm
_0851_,56.635µm
_0625_,56.52µm
_1702_,56.52µm
INSTR\[21\],56.44µm
_0848_,56.14µm
_2356_,56.14µm
_1221_,56.08µm
_0432_,55.88µm
_0551_,55.88µm
STATE\[2\],55.84µm
clknet_leaf_0_CLK,55.8µm
_2050_,55.78µm
_1635_,55.68µm
_0803_,55.6µm
_0761_,55.42µm
_1236_,55.3µm
_1791_,55.1µm
_1507_,54.58µm
_1314_,54.54µm
net58,54.44µm
net70,53.8µm
net69,53.675µm
_0574_,53.22µm
_1854_,52.72µm
_2071_,52.66µm
_2201_,52.46µm
_0706_,52.18µm
_1569_,52.16µm
INSTR\[29\],52.125µm
_1124_,52.04µm
_0847_,51.895µm
_2412_,51.74µm
_1648_,51.44µm
_1839_,51.06µm
_1347_,51.02µm
_1582_,51µm
_1359_,50.91µm
clknet_leaf_22_CLK,50.7µm
_1293_,50.4µm
_2379_,50.24µm
_1213_,50.2µm
_2163_,49.84µm
_0856_,49.8µm
_0873_,49.7µm
_1661_,49.26µm
_0626_,49.08µm
RESULT_ALU\[9\],49.02µm
_2415_,48.92µm
_1378_,48.78µm
_1877_,48.78µm
_1733_,48.56µm
_1622_,48.42µm
_2144_,48.34µm
_1075_,48.3µm
_1963_,48.12µm
RESULT_SYS\[1\],48.07µm
_0480_,47.88µm
_0613_,47.84µm
_1225_,47.7µm
_1674_,47.445µm
_1711_,47.42µm
_1191_,46.94µm
_2121_,46.9µm
_2013_,46.88µm
net37,46.825µm
_1995_,46.74µm
_1366_,46.64µm
_0796_,46.42µm
_0664_,46.28µm
_1135_,46.12µm
RESULT_SYS\[13\],46µm
_1926_,45.92µm
_1470_,45.88µm
_0275_,45.76µm
_0447_,45.74µm
_2040_,45.68µm
net80,45.64µm
_2192_,45.48µm
_1174_,45.18µm
_1398_,45.18µm
_0869_,45.1µm
_1573_,44.92µm
_1104_,44.84µm
net57,44.695µm
_1658_,44.1µm
RESULT_SYS\[14\],44.02µm
_0946_,44µm
_2072_,43.76µm
_1317_,43.605µm
_0825_,43.16µm
_2355_,43.16µm
_0282_,43.065µm
_1772_,43.04µm
RESULT_SYS\[6\],42.83µm
_2385_,42.76µm
_0614_,42.46µm
_1601_,42.46µm
_0999_,42.38µm
_2130_,42.24µm
_0472_,42.105µm
_2048_,42.08µm
_0610_,41.96µm
_1754_,41.82µm
_0015_,41.765µm
_0852_,41.57µm
RESULT_SYS\[8\],41.43µm
RESULT_MEM\[12\],41.42µm
_0704_,41.42µm
_0558_,41.34µm
_1586_,40.735µm
_1818_,40.68µm
_2399_,40.34µm
_0951_,40.22µm
net79,40.2µm
_2376_,40.16µm
_2291_,40.12µm
_1669_,40.1µm
_2397_,39.98µm
_1519_,39.94µm
_1615_,39.94µm
_1180_,39.92µm
_0640_,39.9µm
_0823_,39.76µm
INSTR\[31\],39.72µm
_1273_,39.58µm
_1118_,39.57µm
_1619_,39.52µm
_1564_,39.42µm
_1210_,39.3µm
_2074_,39.16µm
RESULT_MEM\[8\],39.15µm
_1735_,38.96µm
_2123_,38.94µm
_1145_,38.805µm
_0648_,38.62µm
_1175_,38.59µm
_2375_,38.04µm
_1514_,37.92µm
_1712_,37.8µm
_2115_,37.52µm
_0573_,37.5µm
_0830_,37.3µm
_1572_,37.26µm
_1750_,37.24µm
_0612_,37.1µm
_2132_,37.06µm
_2057_,36.54µm
net81,36.52µm
_0826_,36.52µm
_0556_,36.48µm
_1355_,36.44µm
_1764_,36.42µm
RESULT_SYS\[10\],36.37µm
_1782_,36.3µm
_2381_,36.14µm
_0584_,35.965µm
_1542_,35.94µm
REG_COND\[3\],35.92µm
_0950_,35.76µm
_1904_,35.58µm
_0276_,35.18µm
_0599_,35.12µm
_1650_,35.12µm
_2150_,35.08µm
_0678_,34.98µm
_1591_,34.94µm
_2095_,34.92µm
INSTR\[30\],34.84µm
_1358_,34.56µm
REG_FILE\[11\]\[0\],34.24µm
_2154_,34.18µm
_0672_,34.12µm
_0448_,33.94µm
_2373_,33.92µm
RESULT_SYS\[0\],33.89µm
_1983_,33.88µm
_0632_,33.74µm
REG_DEST\[2\],33.69µm
_0623_,33.54µm
REG_FILE\[9\]\[8\],33.44µm
_1224_,33.16µm
REG_DEST\[0\],33.155µm
_0882_,32.88µm
_1694_,32.76µm
_2217_,32.6µm
_0437_,32.32µm
_1798_,32.28µm
_0753_,32.06µm
_0754_,31.84µm
_1018_,31.84µm
_0532_,31.72µm
_1163_,31.72µm
REG_COND\[4\],31.7µm
_0525_,31.58µm
_2096_,31.42µm
_1822_,31.32µm
_1490_,31.22µm
_0866_,31.2µm
_0566_,31.02µm
net48,30.995µm
_1166_,30.76µm
_1895_,30.7µm
_0627_,30.56µm
_0742_,30.56µm
_1305_,30.54µm
_1405_,30.52µm
_1165_,30.22µm
_0763_,30.2µm
INSTR_STREAM[31],30.12µm
_1360_,30.04µm
REG_DEST\[3\],30.035µm
REG_DEST\[1\],30.03µm
RESULT_SYS\[7\],29.84µm
_0615_,29.74µm
INSTR_STREAM[27],29.68µm
_1284_,29.58µm
MEM_LD_DATA[2],29.44µm
_1038_,29.4µm
INSTR_ADDR[12],29.34µm
_0435_,29.28µm
_0597_,29.22µm
_2297_,29.22µm
INSTR\[16\],29.16µm
REG_FILE\[5\]\[3\],29.16µm
_1720_,29.04µm
INSTR_STREAM[26],28.9µm
INSTR\[17\],28.88µm
REG_FILE\[12\]\[7\],28.84µm
_1451_,28.82µm
_0689_,28.72µm
_1691_,28.72µm
_1739_,28.62µm
_2196_,28.58µm
REG_FILE\[6\]\[3\],28.5µm
_1189_,28.46µm
_1298_,28.45µm
REG_FILE\[7\]\[11\],28.44µm
JMP_DEST\[15\],28.36µm
_2418_,28.36µm
_0786_,28.28µm
RESULT_SYS\[5\],28.27µm
_1628_,28.26µm
_1644_,28.1µm
REG_FILE\[12\]\[4\],28.08µm
_0787_,28.08µm
_1263_,28µm
_1609_,27.92µm
_0554_,27.9µm
INSTR_STREAM[29],27.84µm
RESULT_ALU\[11\],27.75µm
_0620_,27.74µm
MEM_LD_DATA[7],27.74µm
_1834_,27.68µm
REG_FILE\[0\]\[3\],27.62µm
_0485_,27.44µm
REG_FILE\[12\]\[9\],27.4µm
_0451_,27.39µm
REG_FILE\[12\]\[0\],27.3µm
_1475_,27.28µm
REG_FILE\[6\]\[8\],27.26µm
_1485_,27.24µm
MAIN_LDH,27.14µm
REG_FILE\[5\]\[11\],27.03µm
_2164_,26.9µm
REG_FILE\[13\]\[9\],26.86µm
_1194_,26.86µm
REG_FILE\[11\]\[2\],26.82µm
_0779_,26.63µm
REG_FILE\[11\]\[8\],26.62µm
_1340_,26.54µm
REG_FILE\[8\]\[15\],26.44µm
_1979_,26.44µm
REG_FILE\[8\]\[9\],26.32µm
JMP_DEST\[13\],26.265µm
_1554_,26.2µm
REG_FILE\[13\]\[7\],26.16µm
_0736_,26.08µm
_1663_,26.06µm
REG_FILE\[8\]\[6\],25.98µm
REG_FILE\[12\]\[12\],25.96µm
INSTR\[22\],25.94µm
REG_FILE\[6\]\[9\],25.94µm
_1310_,25.91µm
REG_FILE\[5\]\[9\],25.88µm
_1382_,25.78µm
DEVICES_LDH,25.74µm
_1642_,25.68µm
REG_FILE\[11\]\[9\],25.66µm
_1338_,25.64µm
_2103_,25.64µm
REG_FILE\[9\]\[9\],25.56µm
_0643_,25.56µm
_1300_,25.53µm
REG_FILE\[10\]\[9\],25.48µm
_0777_,25.46µm
_1491_,25.42µm
MEM_LD_DATA[15],25.38µm
REG_FILE\[3\]\[8\],25.36µm
_1510_,25.3µm
_1160_,25.21µm
_2265_,25.145µm
INSTR_STREAM[25],25µm
REG_FILE\[0\]\[6\],24.94µm
_0709_,24.92µm
_1610_,24.8µm
REG_FILE\[13\]\[3\],24.78µm
REG_FILE\[12\]\[3\],24.66µm
REG_COND\[8\],24.62µm
_1922_,24.62µm
DEVICES_STRH,24.58µm
_0868_,24.56µm
REG_FILE\[2\]\[6\],24.46µm
INSTR_STREAM[24],24.46µm
REG_FILE\[3\]\[1\],24.36µm
_1896_,24.34µm
_1593_,24.22µm
_0513_,24.2µm
REG_FILE\[14\]\[2\],24.18µm
_1077_,24.18µm
REG_FILE\[3\]\[12\],24µm
net34,23.955µm
MAIN_STRH,23.94µm
MEM_LD_DATA[9],23.92µm
REG_FILE\[3\]\[14\],23.88µm
REG_FILE\[3\]\[9\],23.84µm
REG_FILE\[14\]\[10\],23.82µm
INSTR_ADDR[9],23.82µm
REG_FILE\[1\]\[10\],23.8µm
RESET,23.76µm
REG_FILE\[6\]\[2\],23.74µm
_0712_,23.66µm
_1775_,23.66µm
INSTR_ADDR[4],23.65µm
_1190_,23.58µm
_1072_,23.56µm
REG_FILE\[8\]\[8\],23.52µm
_0545_,23.52µm
_2370_,23.52µm
_0449_,23.48µm
MEM_LD_DATA[4],23.46µm
REG_FILE\[4\]\[2\],23.44µm
_1780_,23.44µm
RESULT_SYS\[9\],23.33µm
REG_FILE\[9\]\[7\],23.32µm
_1666_,23.32µm
_0728_,23.28µm
MEM_ADDR[14],23.28µm
REG_FILE\[10\]\[0\],23.26µm
REG_FILE\[11\]\[3\],23.26µm
REG_FILE\[7\]\[3\],23.26µm
_0902_,23.24µm
REG_FILE\[5\]\[0\],23.22µm
REG_FILE\[7\]\[4\],23.22µm
INSTR_STREAM[2],23.17µm
INSTR_STREAM[30],23.16µm
_1402_,23.12µm
_1248_,23.04µm
net20,23µm
RESULT_SYS\[4\],22.99µm
REG_FILE\[8\]\[4\],22.96µm
REG_FILE\[13\]\[8\],22.9µm
INSTR_ADDR[8],22.9µm
net17,22.86µm
REG_FILE\[12\]\[1\],22.86µm
_1486_,22.84µm
_1965_,22.84µm
_0697_,22.82µm
REG_FILE\[8\]\[3\],22.78µm
REG_FILE\[1\]\[11\],22.76µm
INSTR_ADDR[3],22.73µm
RESULT_ALU\[6\],22.71µm
REG_FILE\[6\]\[15\],22.7µm
REG_FILE\[13\]\[2\],22.67µm
REG_FILE\[9\]\[15\],22.64µm
_0844_,22.64µm
_1501_,22.62µm
_2014_,22.605µm
REG_FILE\[1\]\[5\],22.58µm
net42,22.57µm
REG_FILE\[14\]\[3\],22.56µm
REG_FILE\[3\]\[7\],22.54µm
REG_FILE\[8\]\[12\],22.54µm
_0600_,22.5µm
INSTR_STREAM[19],22.49µm
MEM_LD_DATA[5],22.49µm
REG_FILE\[3\]\[4\],22.48µm
_1951_,22.48µm
INSTR_ADDR[5],22.44µm
MAIN_LDW,22.44µm
_1142_,22.42µm
_1800_,22.4µm
DEVICES_LDW,22.4µm
INSTR_STREAM[16],22.35µm
MEM_LD_DATA[14],22.32µm
REG_FILE\[5\]\[6\],22.28µm
REG_FILE\[7\]\[9\],22.28µm
_1256_,22.28µm
REG_FILE\[0\]\[15\],22.24µm
REG_FILE\[0\]\[10\],22.22µm
REG_FILE\[14\]\[14\],22.22µm
_1238_,22.2µm
REG_FILE\[5\]\[4\],22.14µm
INSTR_STREAM[18],22.09µm
_1231_,22.06µm
_1563_,22.06µm
REG_FILE\[7\]\[7\],22.04µm
REG_FILE\[0\]\[5\],22µm
REG_FILE\[2\]\[7\],22µm
_1368_,21.98µm
_2065_,21.96µm
REG_FILE\[10\]\[7\],21.92µm
_1272_,21.92µm
REG_FILE\[1\]\[3\],21.9µm
_1397_,21.88µm
REG_FILE\[11\]\[15\],21.82µm
REG_FILE\[5\]\[15\],21.78µm
_2322_,21.78µm
RESULT_ALU\[2\],21.76µm
REG_FILE\[13\]\[14\],21.74µm
_1301_,21.72µm
_1837_,21.7µm
INSTR\[23\],21.66µm
REG_FILE\[1\]\[15\],21.66µm
INSTR_ADDR[7],21.64µm
RESULT_MEM\[7\],21.58µm
_0738_,21.54µm
INSTR_STREAM[0],21.51µm
_0883_,21.5µm
_1734_,21.5µm
INSTR_ADDR[10],21.5µm
REG_FILE\[9\]\[1\],21.485µm
_0482_,21.485µm
_2270_,21.48µm
REG_FILE\[13\]\[13\],21.46µm
REG_FILE\[2\]\[3\],21.46µm
REG_FILE\[5\]\[8\],21.41µm
MEM_LD_DATA[3],21.4µm
REG_FILE\[13\]\[4\],21.38µm
_0624_,21.38µm
REG_FILE\[9\]\[14\],21.32µm
REG_FILE\[13\]\[0\],21.26µm
REG_FILE\[10\]\[2\],21.22µm
_2053_,21.16µm
_1931_,21.12µm
REG_FILE\[5\]\[7\],21.09µm
_1580_,21.08µm
REG_FILE\[1\]\[1\],21.06µm
_1876_,21.06µm
_1968_,21.06µm
REG_FILE\[14\]\[11\],21.04µm
REG_FILE\[1\]\[12\],21µm
REG_FILE\[10\]\[15\],20.96µm
_2075_,20.96µm
net99,20.9µm
REG_FILE\[12\]\[8\],20.9µm
_2098_,20.9µm
REG_FILE\[14\]\[7\],20.88µm
REG_FILE\[13\]\[15\],20.86µm
INSTR_STREAM[1],20.85µm
_1765_,20.8µm
INSTR_STREAM[12],20.78µm
REG_FILE\[8\]\[7\],20.72µm
_0517_,20.71µm
INSTR_ADDR[2],20.65µm
net4,20.64µm
REG_FILE\[12\]\[15\],20.6µm
REG_FILE\[3\]\[11\],20.58µm
REG_FILE\[9\]\[10\],20.54µm
INSTR_ADDR[0],20.51µm
_1923_,20.475µm
_0693_,20.46µm
MEM_STR_DATA[9],20.45µm
REG_FILE\[1\]\[6\],20.44µm
REG_FILE\[2\]\[4\],20.4µm
_2296_,20.385µm
REG_FILE\[7\]\[15\],20.34µm
_1736_,20.34µm
REG_FILE\[0\]\[0\],20.32µm
_0537_,20.32µm
net35,20.315µm
REG_FILE\[1\]\[8\],20.3µm
_0593_,20.28µm
_1080_,20.24µm
REG_FILE\[5\]\[10\],20.22µm
_0510_,20.22µm
MAIN_STRW,20.22µm
MEM_ADDR[11],20.22µm
MEM_ADDR[7],20.22µm
REG_COND\[5\],20.2µm
REG_FILE\[9\]\[13\],20.15µm
REG_FILE\[9\]\[6\],20.09µm
_0792_,20.06µm
_1281_,20.06µm
_1086_,20.04µm
REG_FILE\[14\]\[0\],20.02µm
_1067_,19.98µm
REG_FILE\[7\]\[2\],19.94µm
_1143_,19.94µm
INSTR_STREAM[9],19.86µm
MEM_LD_DATA[0],19.86µm
_0827_,19.84µm
_2091_,19.82µm
STREAM_WRITE_DEST,19.8µm
_0441_,19.765µm
_1808_,19.76µm
net100,19.74µm
_2187_,19.74µm
INVALID_MEM,19.68µm
MEM_ADDR[12],19.68µm
REG_FILE\[14\]\[12\],19.62µm
_0656_,19.62µm
MEM_LD_DATA[11],19.56µm
REG_FILE\[9\]\[12\],19.54µm
STATE\[5\],19.54µm
REG_FILE\[4\]\[6\],19.5µm
REG_COND\[15\],19.48µm
REG_FILE\[10\]\[10\],19.48µm
REG_FILE\[10\]\[14\],19.48µm
REG_FILE\[9\]\[2\],19.48µm
REG_FILE\[7\]\[1\],19.46µm
_0489_,19.46µm
_2113_,19.46µm
_1753_,19.4µm
_2043_,19.37µm
REG_FILE\[13\]\[5\],19.36µm
_2393_,19.36µm
REG_FILE\[12\]\[5\],19.34µm
REG_FILE\[3\]\[13\],19.34µm
REG_COND\[12\],19.3µm
_1810_,19.3µm
INSTR_ADDR[13],19.3µm
REG_FILE\[11\]\[4\],19.28µm
_2039_,19.28µm
_2300_,19.28µm
REG_FILE\[5\]\[2\],19.23µm
_1007_,19.22µm
