net,length_um
net148,1.0329mm
net152,946.33µm
net150,855.15µm
_0002_,729.07µm
_0010_,685.82µm
_2357_,684.5µm
net151,667.9µm
net153,660.11µm
net149,649.85µm
_0583_,646.37µm
net110,646.335µm
_0569_,613.23µm
_0006_,608.82µm
_1450_,581.6µm
_0459_,554.135µm
_0595_,552.26µm
_2359_,542.57µm
_2378_,537.02µm
_0481_,531.21µm
_2369_,513.265µm
_0433_,512.23µm
net154,498.75µm
_2372_,498.28µm
_0445_,488.71µm
_2374_,488.31µm
_0470_,483.34µm
_1453_,477.71µm
_2401_,475.04µm
_2413_,460.44µm
net49,457.52µm
_2360_,455.895µm
INSTR\[24\],454.89µm
_2362_,445.32µm
_0791_,445.04µm
_1333_,444.455µm
_2367_,443.045µm
_0005_,440µm
_1324_,426.795µm
_0493_,425.675µm
IMM\[2\],415.96µm
STATE\[3\],415.59µm
_0008_,415µm
_0811_,413.45µm
_0797_,406.725µm
_0003_,405.54µm
net111,404.92µm
_0609_,402.75µm
net125,401.385µm
_0011_,396.69µm
_0471_,393.92µm
_0004_,391.06µm
clknet_2_1__leaf_CLK,385.02µm
net146,382.61µm
IMM\[1\],382.28µm
net136,381.805µm
net137,380.83µm
_0000_,378.42µm
_2363_,377.87µm
INSTR\[26\],377.645µm
net127,376.99µm
_0492_,375.5µm
net114,371.96µm
_0806_,371.63µm
_0793_,371.39µm
_0804_,370.86µm
_2358_,370.64µm
_0007_,370.5µm
net124,369.045µm
net128,368.34µm
_0813_,368.1µm
_2392_,367.855µm
_1443_,367.13µm
_2361_,365.18µm
net112,363.39µm
net139,361.78µm
net117,360.6µm
_0802_,360.38µm
clknet_2_0__leaf_CLK,359.09µm
net129,358.76µm
_0843_,358.02µm
net126,355.55µm
INSTR\[25\],353.59µm
net113,351.7µm
net140,349.42µm
_0795_,347.04µm
_1150_,346.13µm
_2414_,345.61µm
_0816_,344.955µm
_0784_,344.34µm
IMM\[0\],344.17µm
_0446_,342.5µm
net143,336.95µm
IMM\[15\],335.11µm
net141,334.01µm
_0527_,329.39µm
net108,328.86µm
_0829_,328.54µm
_2366_,327.34µm
net118,326.85µm
_0846_,323.01µm
_0009_,322.98µm
