net,length_um
_2392_,999.175µm
_0001_,663.77µm
net170,607.12µm
_2378_,557.19µm
net180,516.9µm
_2359_,514.69µm
net175,511.42µm
_0433_,506.28µm
net184,496.61µm
_2374_,491.08µm
_2401_,471.82µm
_2360_,471.68µm
_2362_,465.345µm
net181,463.16µm
_2413_,461.01µm
_1333_,456.485µm
net49,452.92µm
_0791_,440.56µm
net167,438.355µm
net166,432.11µm
STATE\[3\],430.63µm
net146,430.63µm
net145,429.405µm
net182,427.87µm
_0856_,427.54µm
_0797_,421.21µm
_0493_,419.8µm
_2367_,417.53µm
_0825_,417.29µm
_1324_,416.575µm
_0811_,415.25µm
net142,413.63µm
net127,408.775µm
_0609_,407.065µm
_0839_,406.71µm
IMM\[2\],403.41µm
net183,402.15µm
_0848_,401.48µm
_0852_,399.62µm
net111,399.355µm
net158,397.74µm
_0011_,396.58µm
net160,396.48µm
net177,395.79µm
INSTR\[26\],394.215µm
_1443_,393.965µm
_0003_,393.05µm
_0471_,392.79µm
_2363_,391.975µm
_2361_,389.19µm
net168,388.05µm
net169,387.92µm
net135,387.08µm
clknet_2_1__leaf_CLK,385.56µm
_0806_,384.65µm
net161,383.62µm
_0850_,383.14µm
_0007_,381.19µm
_0858_,378.82µm
_0793_,378.8µm
_0804_,376.61µm
_2358_,376.29µm
net134,375.785µm
net179,371.35µm
_0005_,369.65µm
net176,369.38µm
_0841_,369.37µm
_0802_,365.74µm
net128,364.85µm
INSTR\[25\],363.995µm
net117,363.85µm
net153,362.045µm
net126,361.16µm
_0813_,358.26µm
_0843_,356.55µm
clknet_2_0__leaf_CLK,356.25µm
net140,353.955µm
net172,351.73µm
net141,350.84µm
_0795_,348.43µm
_1150_,346.86µm
_0784_,346.825µm
net171,346.36µm
IMM\[0\],345.63µm
net138,344.685µm
net174,344.65µm
net130,343.535µm
_0009_,343.44µm
net165,338.86µm
_0446_,337.99µm
_0002_,337.14µm
net133,335.36µm
IMM\[15\],335.19µm
_2414_,332.33µm
_0004_,330.58µm
net155,329.86µm
_0809_,327.86µm
net178,327.64µm
_1326_,325.25µm
net185,325.24µm
_0816_,324.61µm
net118,321.9µm
net162,321.69µm
_0832_,321.51µm
_0010_,319.29µm
net147,318.39µm
net125,318.32µm
_0833_,317.51µm
_2391_,317.16µm
_0829_,316.45µm
IMM\[3\],314.37µm
net156,314.3µm
_0846_,311.38µm
net154,311.26µm
_0836_,309.46µm
_0506_,307.84µm
clknet_2_2__leaf_CLK,305.9µm
_0834_,304.78µm
_0800_,303.29µm
_2357_,296.23µm
_2368_,291.36µm
IMM\[4\],289.84µm
IMM\[8\],287.13µm
clknet_0_CLK,285.3µm
_1445_,283.58µm
net143,281.81µm
net149,276.2µm
net157,275.47µm
_0822_,275.43µm
net144,275.34µm
INSTR\[27\],273µm
_0006_,269.41µm
_1108_,267.64µm
IMM\[7\],267.04µm
net129,266.91µm
net173,262.79µm
net152,259.54µm
_0008_,259.24µm
_0820_,257.245µm
_0818_,253.645µm
net120,251.185µm
IMM\[14\],251.18µm
_1328_,249.155µm
