net,length_um
_2387_,113.1µm
_1321_,112.76µm
_0874_,112.74µm
_0770_,112.65µm
_0582_,112.64µm
_0278_,112.12µm
_1315_,112.01µm
_0698_,111.96µm
_1724_,111.92µm
_1793_,111.79µm
_2060_,111.34µm
_2156_,111.02µm
_1665_,110.3µm
_0458_,110.14µm
_0875_,108.49µm
_1342_,108.32µm
_1211_,108.25µm
_2145_,108.2µm
_1954_,107.97µm
_1927_,107.83µm
net64,107.74µm
net44,107.59µm
_1386_,107.58µm
_0768_,107.36µm
_1813_,106.38µm
_1245_,105.78µm
_2026_,105.66µm
_1282_,105.56µm
_0608_,105.28µm
clknet_leaf_7_CLK,105.28µm
_2038_,105.12µm
clknet_leaf_12_CLK,104.08µm
_0550_,103.94µm
net66,103.88µm
net59,102.98µm
clknet_leaf_24_CLK,102.76µm
_1161_,102.68µm
RESULT_MEM\[1\],102.11µm
_0504_,101.72µm
_0628_,101.58µm
_2377_,101.16µm
_1597_,101.04µm
clknet_leaf_3_CLK,100.96µm
_1262_,100.675µm
_2078_,100.3µm
_1136_,100.19µm
_1532_,99.51µm
_1751_,99.44µm
_2011_,99.34µm
RESULT_MEM\[2\],99.335µm
_1128_,99.1µm
RESULT_MEM\[3\],98.265µm
_1164_,97.41µm
RESULT_ALU\[5\],97.14µm
_1482_,96.49µm
net125,96.48µm
_0515_,96.38µm
_0714_,96.3µm
clknet_leaf_17_CLK,96.22µm
_0666_,95.72µm
_1848_,95.295µm
_0767_,94.38µm
clknet_leaf_18_CLK,94.24µm
_1529_,94µm
_2084_,93.92µm
REG_COND\[1\],93.68µm
net45,93.56µm
_1063_,92.88µm
_1914_,92.75µm
clknet_leaf_38_CLK,92.72µm
_1102_,92.21µm
_1547_,92.17µm
clknet_leaf_10_CLK,92.08µm
_1625_,91.9µm
clknet_leaf_27_CLK,91.72µm
_2110_,91.6µm
clknet_leaf_6_CLK,91.32µm
_1250_,91µm
_1977_,90.96µm
_1499_,90.95µm
clknet_leaf_29_CLK,90.94µm
_1171_,90.8µm
_1533_,90.42µm
_1441_,90.24µm
_1274_,89.575µm
_2383_,89.54µm
_0569_,89µm
_0560_,88.92µm
_1998_,88.86µm
clknet_leaf_1_CLK,88.69µm
_1469_,87.54µm
_1984_,87.34µm
REG_COND\[0\],87.32µm
_1260_,87.24µm
RESULT_MEM\[4\],86.84µm
_1847_,86.62µm
clknet_leaf_21_CLK,86.48µm
_0766_,86.39µm
_2207_,86.22µm
_1763_,86.18µm
net60,85.96µm
_0279_,85.91µm
clknet_leaf_39_CLK,85.84µm
clknet_leaf_15_CLK,85.68µm
_1962_,85.24µm
clknet_leaf_37_CLK,85.12µm
_1418_,84.68µm
clknet_leaf_23_CLK,84.66µm
net55,84.52µm
RESULT_MEM\[0\],84.255µm
clknet_leaf_2_CLK,84.1µm
INSTR\[28\],84.06µm
net62,83.93µm
_1172_,83.68µm
_1179_,83.58µm
clknet_leaf_35_CLK,83.44µm
clknet_leaf_8_CLK,83.2µm
_1996_,83.02µm
_1476_,82.76µm
_1233_,82.72µm
_1127_,82.32µm
clknet_leaf_11_CLK,82.08µm
_0655_,81.735µm
_1222_,81.54µm
_1690_,81.46µm
_2194_,81.34µm
_0730_,80.885µm
clknet_leaf_5_CLK,80.58µm
net124,79.965µm
_1660_,79.8µm
clknet_leaf_4_CLK,79.68µm
_2382_,79.52µm
clknet_leaf_32_CLK,79.1µm
_0765_,78.8µm
clknet_leaf_30_CLK,78.76µm
net61,78.66µm
_1214_,78.455µm
_2104_,78.38µm
_1203_,78.245µm
_0280_,77.9µm
_1506_,77.65µm
clknet_leaf_9_CLK,77.6µm
_1440_,77.16µm
_2169_,76.98µm
_1258_,76.8µm
_2181_,76.8µm
clknet_leaf_13_CLK,76.58µm
clknet_leaf_19_CLK,76.56µm
clknet_leaf_36_CLK,76.3µm
_1840_,76.11µm
_1055_,75.87µm
net38,75.845µm
net65,75.8µm
_2106_,75.66µm
_1600_,75.5µm
clknet_leaf_33_CLK,75.22µm
_2027_,75.07µm
_1770_,75.02µm
_1924_,74.8µm
_2023_,74.48µm
clknet_leaf_40_CLK,74.48µm
clknet_leaf_31_CLK,74.2µm
_0594_,74.16µm
_1261_,74.14µm
_2133_,73.68µm
_1056_,73.3µm
_0531_,73.26µm
net121,73.22µm
_1829_,73.11µm
JMP_STREAM_COUNT,72.98µm
_1249_,72.745µm
_0277_,72.605µm
STATE\[6\],72.6µm
_1202_,72.56µm
INSTR\[20\],72.36µm
_2417_,72.205µm
_1745_,72.07µm
clknet_leaf_34_CLK,71.58µm
net68,71.41µm
clknet_leaf_16_CLK,71.24µm
_1792_,70.8µm
_1313_,70.52µm
_1850_,70.29µm
net54,70.18µm
_0450_,70.16µm
_2058_,69.98µm
clknet_leaf_25_CLK,69.82µm
_1883_,69.78µm
_0721_,69.54µm
clknet_leaf_26_CLK,69.48µm
clknet_leaf_20_CLK,69.36µm
_1129_,69.26µm
_1978_,69.24µm
_1852_,69.2µm
clknet_leaf_28_CLK,68.82µm
_1523_,68.78µm
_1866_,68.3µm
_0720_,68.26µm
_2092_,68.22µm
net63,67.81µm
_0497_,67.56µm
_1148_,67.54µm
_1237_,67.38µm
net56,67.24µm
_2219_,66.22µm
_1960_,66.1µm
_0939_,65.9µm
RESULT_SYS\[12\],65.865µm
clknet_leaf_41_CLK,65.74µm
net39,65.615µm
_1361_,65.16µm
_2094_,64.82µm
_2076_,64.5µm
RESULT_SYS\[15\],64.45µm
_0764_,64.22µm
net115,63.915µm
_1176_,63.82µm
_0586_,63.775µm
clknet_leaf_22_CLK,63.46µm
_1524_,63.4µm
_1791_,63.24µm
_2066_,62.22µm
_1555_,61.36µm
_0894_,61.3µm
_0444_,61.26µm
_1322_,61.24µm
REG_COND\[2\],61.2µm
_1312_,61.04µm
_0012_,60.955µm
_1550_,60.495µm
_1199_,60.48µm
_1559_,59.96µm
_0746_,59.705µm
INSTR\[21\],59.44µm
_1985_,59.18µm
_2089_,58.9µm
_2025_,58.82µm
_2093_,58.38µm
_0568_,58.18µm
_1187_,58.16µm
RESULT_SYS\[11\],58.1µm
_1585_,58.04µm
_1084_,57.9µm
clknet_leaf_0_CLK,57.68µm
STATE\[2\],57.56µm
_0551_,57.48µm
_1531_,57.3µm
_0432_,57.26µm
_1546_,56.88µm
_2412_,56.54µm
_0803_,56.52µm
net123,56.25µm
_2356_,56.18µm
net69,56.12µm
_1430_,56.04µm
_0574_,55.72µm
_0542_,55.68µm
_1635_,55.68µm
_0872_,55.64µm
_1702_,55.38µm
RESULT_SYS\[1\],55.34µm
_1507_,54.92µm
_1684_,54.88µm
_0830_,54.76µm
_1119_,54.21µm
_0762_,53.98µm
_1713_,53.74µm
net70,53.28µm
_0625_,53.28µm
_0706_,53.1µm
_0761_,52.77µm
_1854_,52.72µm
_1221_,52.66µm
_1314_,52.32µm
_1359_,52.18µm
_1569_,52.16µm
_1839_,51.64µm
_2379_,51.62µm
INSTR\[29\],51.585µm
_2040_,51.12µm
_1648_,51.1µm
_0873_,50.94µm
_1236_,50.9µm
_1124_,50.705µm
_1366_,50.66µm
RESULT_ALU\[9\],49.78µm
_2071_,49.6µm
_0626_,49.54µm
_1398_,49.46µm
_1117_,49.3µm
_1213_,49.3µm
_2144_,49.26µm
_1711_,49.12µm
_1877_,48.78µm
_2201_,48.78µm
_1293_,48.7µm
_2415_,48.66µm
_1833_,48.52µm
_1174_,48.26µm
_0480_,48.22µm
_0613_,47.94µm
_2121_,47.82µm
_1661_,47.59µm
_1733_,47.54µm
_0015_,47.465µm
_1674_,47.445µm
_1622_,47.4µm
_1225_,47.315µm
net37,46.825µm
_1135_,46.8µm
_1963_,46.74µm
_2050_,46.68µm
_1470_,46.56µm
_0796_,46.42µm
