net,length_um
net146,1.06741mm
net142,1.03215mm
net144,934.265µm
net149,712.975µm
_0010_,668.29µm
_0522_,666.13µm
_0006_,632.59µm
net145,628.9µm
_2384_,593.18µm
_2396_,590.5µm
_0002_,584.43µm
_2372_,584.16µm
_2336_,563.81µm
_1493_,560.625µm
net143,553.63µm
net148,547µm
_1499_,528.05µm
_2334_,527.55µm
net147,521.33µm
_2324_,519.46µm
_2321_,514.58µm
_0549_,493.88µm
_0535_,490.65µm
_2409_,488.55µm
_2341_,487.13µm
_0011_,467.72µm
_2325_,463.19µm
_0421_,461.54µm
_0409_,460.21µm
_0008_,459.09µm
_2360_,457.12µm
_2323_,453.375µm
_2326_,449.38µm
_0468_,444.49µm
_1184_,435.46µm
_2338_,433.06µm
INSTR\[24\],432.13µm
_0000_,431.15µm
INSTR\[25\],426.03µm
_2332_,425.87µm
STATE\[3\],421.82µm
_1636_,419.96µm
INSTR\[26\],419.855µm
_0507_,417.94µm
_0804_,416.38µm
_2361_,415.54µm
_0740_,414.97µm
_1506_,410.76µm
_0753_,405.32µm
_0733_,404.42µm
clknet_2_0__leaf_CLK,404.29µm
_0446_,397.83µm
_0746_,395.305µm
_0432_,394.34µm
IMM\[2\],392.14µm
net113,390.57µm
net122,388.9µm
_0007_,386.91µm
net117,384.4µm
IMM\[3\],384.11µm
_0003_,382.6µm
_0757_,381.84µm
_2322_,379.51µm
_0004_,372.24µm
net116,369.07µm
_0761_,368.005µm
_0751_,367.19µm
_0800_,367µm
_0548_,365.01µm
_2397_,362.28µm
_0749_,361.74µm
_0779_,361.66µm
_0781_,360.78µm
_0735_,358.8µm
_2352_,358.605µm
_2327_,353.85µm
_0666_,352.22µm
_0792_,351.03µm
IMM\[1\],350.36µm
_0787_,346.89µm
net131,346.84µm
net128,346.8µm
_0420_,344.77µm
_0723_,344.68µm
net111,343.525µm
_2385_,343.14µm
net123,342.54µm
net114,340.97µm
_0771_,340.42µm
net112,339.09µm
IMM\[0\],337.345µm
_0618_,336.57µm
_0776_,336.34µm
net118,335.475µm
_0768_,333.2µm
net121,332.26µm
_1504_,328.795µm
net134,328.605µm
_0508_,327.19µm
net130,323.165µm
_0456_,321.68µm
net115,320.64µm
_2333_,320.455µm
net137,314.185µm
_0759_,312.9µm
_0433_,311.44µm
_0650_,309.06µm
_0610_,308.7µm
_0774_,307.13µm
_0744_,306.895µm
_0755_,303.9µm
net120,303.555µm
clknet_2_1__leaf_CLK,302.49µm
_0658_,300.94µm
JMP_STREAM_COUNT,299.745µm
net132,298.99µm
clknet_0_CLK,298.69µm
net135,298.57µm
net125,297.02µm
_0634_,296.3µm
net129,296.245µm
net126,292.49µm
_0594_,291.17µm
_0005_,289.52µm
_0602_,286.09µm
net49,285.995µm
net124,284.89µm
_2351_,284.46µm
net136,282.68µm
_0738_,281.86µm
clknet_2_3__leaf_CLK,278.8µm
net139,273.66µm
INSTR\[27\],272.6µm
_0410_,271.655µm
_0674_,270.95µm
net127,265.725µm
_1373_,263.47µm
_2331_,258.55µm
net133,258.18µm
_2342_,256.2µm
_1102_,256.11µm
_2348_,255.64µm
_1374_,254.82µm
CLK,254.59µm
_1121_,252.88µm
_0742_,252.81µm
_1195_,249.73µm
_0477_,246.58µm
net140,246.515µm
_0578_,245.84µm
_0721_,245.28µm
_1492_,244.78µm
_1237_,237.475µm
_0994_,236.32µm
_1130_,235.055µm
net138,234.32µm
_1112_,229.31µm
IMM\[8\],228.74µm
_0626_,224.23µm
_0642_,219.62µm
_0803_,217.78µm
_1507_,216.22µm
_2289_,215.685µm
IMM\[9\],215.555µm
_2288_,213.3µm
_1502_,210.885µm
_0447_,207.565µm
IMM\[4\],206.175µm
_0731_,201.91µm
_1361_,199.56µm
IMM\[5\],197.55µm
_2340_,197.53µm
_0570_,196.515µm
_2337_,194.87µm
_1245_,192.395µm
_0478_,190.28µm
_1206_,190.26µm
clknet_2_2__leaf_CLK,188.76µm
_1503_,184.89µm
_0828_,183.84µm
_1183_,183.35µm
_0536_,182.38µm
_1217_,179.07µm
_1489_,178.29µm
_0690_,176.7µm
IMM\[10\],176.13µm
_1375_,174.32µm
_1679_,172.3µm
_0682_,171.82µm
_1148_,171.195µm
net119,170.975µm
_1236_,168.7µm
_0499_,166.875µm
IMM\[7\],166.68µm
IMM\[11\],166.06µm
_1858_,164.88µm
_1356_,164.725µm
_1628_,163.14µm
net109,158.62µm
_0015_,157.335µm
_0829_,156.38µm
_1257_,155.41µm
_1322_,155.34µm
_1163_,154.825µm
_1281_,154.68µm
_1445_,153.62µm
IMM\[6\],153.58µm
_0698_,152.28µm
_1836_,151.9µm
_1364_,151.45µm
_1150_,150.455µm
_1113_,150.14µm
_1550_,147.3µm
_2170_,147.18µm
IMM\[14\],145.06µm
IMM\[12\],143.94µm
net110,143.48µm
_0001_,142.7µm
_0586_,142.33µm
net108,140.88µm
_1810_,140.3µm
_1368_,139.92µm
clknet_leaf_12_CLK,138.75µm
_1369_,138.43µm
_1270_,136.93µm
_2157_,136.6µm
_0526_,135.86µm
_1360_,134.78µm
_2047_,133.9µm
_1122_,133.78µm
_2319_,133.72µm
_2115_,133.62µm
_2085_,133.6µm
_1601_,133.52µm
_2315_,133.415µm
_1837_,131.98µm
_1655_,131.3µm
_2318_,130.13µm
IMM\[13\],130µm
_1463_,129.59µm
_1533_,127.98µm
_1228_,127.845µm
_1812_,126.35µm
_1764_,125.6µm
_0797_,125.21µm
IMM\[15\],123.06µm
net141,123.02µm
_1474_,122.69µm
_2030_,121.68µm
_0795_,121.345µm
_0488_,121.255µm
_2320_,121.04µm
_1590_,119.545µm
_0280_,118.82µm
_1791_,116.96µm
_1893_,116.51µm
_1333_,116.5µm
_2136_,115.48µm
_0728_,115.24µm
_1140_,115.04µm
_2120_,114.855µm
_0778_,114.035µm
_1346_,112µm
_2260_,111.7µm
_0009_,111.23µm
_1897_,111.16µm
_0780_,110.305µm
_2345_,110µm
_0706_,109.42µm
_1750_,109.4µm
_1976_,108.32µm
_0704_,108.31µm
_0700_,107.52µm
_1367_,107.1µm
_0279_,106.87µm
_1573_,105.02µm
_2219_,104.64µm
_1160_,104.53µm
clknet_leaf_1_CLK,104.38µm
_1235_,104.075µm
net71,104.06µm
_1307_,102.92µm
net63,102.5µm
_1187_,101.81µm
clknet_leaf_16_CLK,101.78µm
_2247_,101.08µm
_2150_,100.93µm
clknet_leaf_17_CLK,100.88µm
_2193_,100.6µm
clknet_leaf_39_CLK,100.1µm
_2130_,99.98µm
_1220_,99.6µm
clknet_leaf_21_CLK,99.39µm
net55,99.32µm
_1505_,99.195µm
_0701_,99.11µm
_0281_,98.865µm
_2272_,98.78µm
_2232_,98.62µm
_1691_,98.32µm
_2207_,98.28µm
_1697_,98.12µm
_1159_,97.92µm
_0783_,97.78µm
_0708_,97.42µm
clknet_leaf_14_CLK,97.08µm
_1405_,96.79µm
_1341_,96.02µm
_1231_,95.82µm
clknet_leaf_41_CLK,95.82µm
_0718_,95.08µm
clknet_leaf_22_CLK,94.84µm
clknet_leaf_19_CLK,94.8µm
_1630_,93.88µm
clknet_leaf_9_CLK,93.84µm
_1565_,93.7µm
clknet_leaf_4_CLK,93.66µm
clknet_leaf_24_CLK,93.26µm
_0799_,92.53µm
_2152_,92.06µm
net61,91.92µm
_2160_,91.88µm
_2114_,91.54µm
_1198_,90.915µm
_0460_,90.78µm
clknet_leaf_31_CLK,90.74µm
clknet_leaf_27_CLK,90.66µm
_1916_,90.36µm
_1344_,89.54µm
_2028_,89.48µm
_2330_,89.02µm
_1156_,88.945µm
net81,88.62µm
clknet_leaf_38_CLK,88.36µm
_0987_,87.68µm
_2226_,87.28µm
clknet_leaf_25_CLK,87.23µm
_2271_,86.92µm
_1328_,86.72µm
_2258_,86.325µm
_1104_,86.06µm
_1498_,85.98µm
clknet_leaf_37_CLK,84.96µm
_1209_,84.725µm
_1726_,84.16µm
clknet_leaf_30_CLK,84.16µm
_0763_,84.14µm
clknet_leaf_2_CLK,84.03µm
_2280_,84µm
_0476_,83.84µm
clknet_leaf_11_CLK,83.24µm
net42,83.13µm
_1581_,82.9µm
net87,82.16µm
_2244_,81.98µm
_1859_,81.94µm
clknet_leaf_8_CLK,81.92µm
clknet_leaf_15_CLK,81.3µm
clknet_leaf_10_CLK,80.98µm
_1670_,80.66µm
net60,80.315µm
_1197_,80.22µm
_0802_,80.02µm
_1349_,80.02µm
_2141_,79.2µm
clknet_leaf_23_CLK,79.1µm
_0282_,79.085µm
clknet_leaf_5_CLK,79.02µm
_1748_,78.8µm
clknet_leaf_34_CLK,78.68µm
net58,78.49µm
clknet_leaf_28_CLK,78.3µm
clknet_leaf_13_CLK,78.2µm
REG_DEST\[2\],78.11µm
_2206_,77.9µm
_1446_,77.47µm
_0702_,77.1µm
clknet_leaf_35_CLK,76.8µm
net59,76.31µm
_0788_,76.035µm
_0457_,75.9µm
_1612_,75.68µm
_0565_,75.44µm
REG_DEST\[3\],75.41µm
_1167_,75.4µm
_2242_,75.4µm
net40,75.005µm
REG_DEST\[0\],73.835µm
_1286_,73.14µm
_0812_,72.86µm
REG_DEST\[1\],72.815µm
net54,72.7µm
_1610_,72.64µm
_0793_,72.39µm
_0498_,72.175µm
_2016_,71.92µm
_1166_,71.76µm
_1284_,71.63µm
clknet_leaf_40_CLK,71.36µm
net33,71.35µm
_1129_,71.22µm
_1186_,71.14µm
_0705_,71.1µm
clknet_leaf_33_CLK,70.76µm
clknet_leaf_20_CLK,70.38µm
net41,70.15µm
net64,69.88µm
_0547_,69.6µm
STREAM_WRITE_DEST,69.04µm
clknet_leaf_0_CLK,68.64µm
_1293_,68.56µm
_2025_,68.405µm
_1345_,68.26µm
_0786_,68.13µm
_1314_,68.12µm
_0496_,66.545µm
_1227_,66.32µm
_2154_,66.3µm
_1173_,66.18µm
_2191_,66.065µm
_1568_,65.98µm
_1709_,65.94µm
_0791_,65.745µm
clknet_leaf_18_CLK,65.48µm
_0540_,65.12µm
_1755_,65.02µm
_0963_,64.94µm
_0703_,64.92µm
_1294_,64.76µm
RESULT_MEM\[7\],64.705µm
_0514_,64.22µm
_0550_,64.175µm
_2418_,63.72µm
clknet_leaf_32_CLK,63.64µm
_2218_,63.36µm
_1244_,63.08µm
_1310_,63.065µm
_1094_,63.06µm
_1233_,62.89µm
_2383_,62.67µm
net62,62.58µm
_1045_,62.54µm
_1249_,62.465µm
_2401_,61.93µm
_2024_,61.84µm
_1196_,61.76µm
_2177_,61.48µm
clknet_leaf_26_CLK,61.36µm
_0654_,61.08µm
_1385_,60.42µm
_1641_,60.06µm
_0767_,60.04µm
_1205_,59.84µm
_2082_,59.82µm
net70,59.81µm
_2164_,59.7µm
_0576_,59.55µm
_0681_,59.44µm
_0794_,59.42µm
