net,length_um
net146,1.09947mm
net142,1.01277mm
net144,949.625µm
net149,710.785µm
_0522_,667.585µm
_0010_,664.94µm
_0006_,632.42µm
net145,627.7µm
_2396_,588.215µm
_2384_,587.64µm
_2372_,575.01µm
_0002_,574.54µm
_2334_,562.94µm
net143,556.86µm
_2336_,553.53µm
_1493_,553.5µm
net148,532.12µm
net147,522.57µm
_2321_,519.1µm
_2324_,515.81µm
_1499_,504.42µm
_0535_,493µm
_0549_,490.83µm
_2409_,489.55µm
_2341_,489µm
_0008_,477.25µm
_2360_,466.08µm
_2325_,464.955µm
_0011_,463.26µm
_0409_,462.66µm
_2326_,450.03µm
_2323_,448.615µm
_0468_,444.805µm
_2338_,443.24µm
_1636_,434.57µm
INSTR\[25\],433.5µm
_0804_,432.14µm
INSTR\[24\],430.48µm
STATE\[3\],430.47µm
_1184_,427.03µm
_0000_,425.5µm
_2361_,421.05µm
_0740_,420.5µm
INSTR\[26\],418.27µm
_2332_,415.63µm
_0421_,415.295µm
_1506_,411.52µm
_0507_,409.48µm
_0432_,409.455µm
clknet_2_0__leaf_CLK,406.5µm
_0753_,405.285µm
_0733_,403.53µm
_0757_,396.72µm
IMM\[2\],392.09µm
net122,389µm
_0007_,388.02µm
_2322_,387.88µm
IMM\[3\],387.35µm
net113,385.46µm
_0003_,384.64µm
_0446_,380.87µm
_0004_,378.13µm
_0761_,372.67µm
_0792_,369.64µm
_0779_,369.42µm
_0746_,367.34µm
_0749_,367.02µm
net117,366.94µm
_0548_,365.21µm
_0800_,364.88µm
_2397_,363.03µm
_0751_,361.46µm
_2327_,361.14µm
net116,361.02µm
_0735_,357.41µm
_2352_,355.925µm
_0781_,354.35µm
_0666_,353.09µm
net131,349.815µm
IMM\[1\],347.66µm
_0771_,347.14µm
_2385_,344.63µm
net128,344.11µm
_0723_,343.33µm
net114,341.62µm
_0787_,340.57µm
IMM\[0\],338.05µm
net121,334.84µm
_0420_,334.73µm
net118,333.58µm
_0618_,333.44µm
net111,332.475µm
_0776_,331.58µm
net134,331.085µm
net112,328.1µm
_0768_,327.23µm
_0456_,324.82µm
net123,324.03µm
_0508_,322.51µm
_1504_,322.2µm
_0759_,318.62µm
net137,318.405µm
net115,317.385µm
net130,314.295µm
_0744_,313.675µm
_2333_,313.61µm
_0433_,310.08µm
_0650_,309.12µm
_0610_,307.34µm
_0755_,304.02µm
clknet_2_1__leaf_CLK,302.74µm
_0005_,301.68µm
net135,300.515µm
net125,300.195µm
net120,297.53µm
_0658_,296.52µm
_0774_,296.27µm
_0634_,295.99µm
net129,293.89µm
_0594_,291.17µm
net126,290.495µm
_0738_,289.16µm
JMP_STREAM_COUNT,289.005µm
net132,288.36µm
clknet_0_CLK,287.63µm
net139,287.62µm
_0602_,286.09µm
_2351_,285.1µm
net49,284.535µm
net124,284.38µm
net136,284.185µm
clknet_2_3__leaf_CLK,278.46µm
INSTR\[27\],274.83µm
_0674_,270.95µm
_0410_,269.74µm
_1373_,266.14µm
net127,259.93µm
net133,257.155µm
_2342_,257.06µm
CLK,256.005µm
_1374_,255.655µm
_0742_,253.63µm
_1102_,252.14µm
_2331_,251.53µm
_2348_,251.475µm
_1195_,249.73µm
_1121_,248.8µm
_0578_,245.99µm
_0477_,245.54µm
_1492_,243.59µm
net140,243.005µm
_0721_,242.42µm
_1237_,236.3µm
_1130_,233.91µm
_0994_,232.74µm
IMM\[8\],229.2µm
net138,229.02µm
_1112_,228.12µm
_1507_,223.16µm
_0626_,222.8µm
_0642_,219.62µm
_2289_,216.9µm
IMM\[9\],215.555µm
_1502_,214.765µm
_2288_,214.59µm
_0803_,212.53µm
IMM\[4\],212.38µm
_1361_,207.98µm
_0447_,206.4µm
_0570_,201.525µm
_0731_,198.58µm
IMM\[5\],198.275µm
_2340_,193.76µm
_1245_,193.685µm
_1206_,192.9µm
_2337_,192.76µm
_1183_,192.29µm
clknet_2_2__leaf_CLK,188.42µm
_1217_,187.19µm
_0478_,185.74µm
_1503_,182.78µm
_0536_,181.92µm
_1375_,181.41µm
_1489_,179.65µm
_0828_,177.15µm
_0690_,175.44µm
IMM\[10\],173.625µm
_1679_,170.94µm
_1236_,170.74µm
_0682_,170.66µm
_0499_,167.88µm
_1148_,167.705µm
net119,167.62µm
_1356_,166.01µm
IMM\[7\],165.56µm
_1858_,164.88µm
net109,162.82µm
IMM\[11\],161.2µm
_1628_,159.98µm
_1281_,159.04µm
_0015_,157.795µm
_1257_,155.41µm
_0829_,153.86µm
_1163_,152.665µm
_1550_,152.02µm
_1836_,151.9µm
_0698_,150.88µm
IMM\[6\],150.82µm
_1150_,149.775µm
_1322_,149.54µm
_1445_,148.66µm
_1113_,148.44µm
_1364_,148.37µm
_2170_,145.58µm
IMM\[12\],145.08µm
net110,144.68µm
_2085_,144.6µm
IMM\[14\],143.7µm
_1810_,140.3µm
_0586_,140.03µm
_1368_,139.92µm
_0001_,139.72µm
_1369_,139.35µm
_1601_,137.94µm
_1270_,136.95µm
net108,136.59µm
_2318_,136µm
_2115_,135.57µm
_2030_,135.3µm
_1360_,134.22µm
_2157_,134.09µm
_2047_,133.9µm
clknet_leaf_12_CLK,133.86µm
_0526_,133.58µm
_1122_,133.44µm
_1837_,131.98µm
_1655_,131.52µm
_2315_,131.42µm
_2319_,130µm
_1463_,128.64µm
IMM\[13\],128.4µm
_1533_,127.98µm
_1812_,127.83µm
_1228_,127.385µm
net141,126.83µm
_1764_,126.06µm
_1474_,123.37µm
_2120_,122.1µm
_0488_,121.255µm
_1140_,121.16µm
_2320_,120.36µm
_1893_,120.09µm
_1590_,119.545µm
IMM\[15\],118.9µm
_0280_,117.9µm
_0797_,117.51µm
_1791_,116.96µm
_0778_,115.2µm
_2136_,115.14µm
_0728_,113.71µm
_1333_,113.68µm
_0795_,113.125µm
_2260_,111.7µm
_1235_,111.595µm
_2345_,111.36µm
_0009_,111.21µm
_0704_,110.82µm
_0708_,110.52µm
_1976_,109.58µm
_1750_,109.4µm
_0780_,108.56µm
_1897_,108.04µm
_1187_,107.82µm
_0700_,107.52µm
_0279_,106.87µm
_0706_,106.76µm
_1346_,106.42µm
_1573_,106.26µm
_1367_,105.74µm
_2219_,104.64µm
_1159_,103.88µm
net71,103.72µm
_1160_,103.72µm
clknet_leaf_1_CLK,103.68µm
clknet_leaf_16_CLK,101.78µm
_1505_,101.265µm
_1231_,101.22µm
_1307_,101.08µm
_2247_,101.08µm
_2193_,100.94µm
clknet_leaf_17_CLK,100.88µm
_2150_,100.59µm
_2130_,99.98µm
_0701_,99.52µm
clknet_leaf_21_CLK,99.39µm
net55,99.32µm
_1198_,98.835µm
_2272_,98.78µm
_2232_,98.62µm
_1220_,98.335µm
_2207_,98.28µm
clknet_leaf_41_CLK,97.76µm
clknet_leaf_14_CLK,97.08µm
_1697_,96.93µm
_1405_,96.45µm
clknet_leaf_39_CLK,96.18µm
clknet_leaf_27_CLK,94.86µm
clknet_leaf_22_CLK,94.84µm
clknet_leaf_19_CLK,94.8µm
_2152_,94.78µm
_0783_,94.515µm
_1630_,94.435µm
_1341_,94.2µm
_1565_,94.16µm
_2160_,93.9µm
clknet_leaf_4_CLK,93.66µm
clknet_leaf_24_CLK,93.26µm
net61,92.84µm
_2114_,92.56µm
_0718_,92.36µm
clknet_leaf_9_CLK,91.66µm
_1328_,91.48µm
_1691_,91.3µm
_1916_,90.36µm
clknet_leaf_31_CLK,90.3µm
clknet_leaf_30_CLK,90.02µm
_2028_,89.48µm
_0460_,89.08µm
_2280_,89.04µm
_2330_,89.02µm
net81,88.62µm
clknet_leaf_38_CLK,88.36µm
_0799_,88.11µm
_0281_,88.025µm
_0987_,87.68µm
_2226_,87.28µm
clknet_leaf_25_CLK,87.23µm
_2271_,86.58µm
net63,86.545µm
_1670_,86.06µm
_1156_,85.605µm
_1104_,85.6µm
_1498_,84.96µm
clknet_leaf_37_CLK,84.96µm
_1344_,84.4µm
_1726_,84.16µm
_1209_,84.145µm
clknet_leaf_2_CLK,84.03µm
_0476_,83.84µm
_0763_,83.8µm
_2258_,83.565µm
clknet_leaf_11_CLK,83.52µm
clknet_leaf_8_CLK,82.96µm
_1581_,82.22µm
net87,82.16µm
_1859_,82.11µm
_2244_,81.98µm
clknet_leaf_15_CLK,81.52µm
_0802_,80.94µm
clknet_leaf_10_CLK,80.9µm
_0788_,80.865µm
REG_DEST\[3\],80.755µm
net60,80.555µm
net42,80.02µm
_1349_,80.02µm
_0565_,79.2µm
net58,79.17µm
_0282_,79.085µm
clknet_leaf_5_CLK,79.02µm
clknet_leaf_23_CLK,78.9µm
_1748_,78.8µm
clknet_leaf_34_CLK,78.68µm
_2141_,78.28µm
_1446_,78.24µm
clknet_leaf_13_CLK,78.2µm
_2206_,77.9µm
_0702_,77.1µm
net40,77.045µm
clknet_leaf_35_CLK,76.8µm
REG_DEST\[1\],76.575µm
clknet_leaf_28_CLK,76.54µm
net59,76.31µm
REG_DEST\[2\],76.19µm
_1197_,76.1µm
_0793_,75.905µm
_1612_,75.68µm
_2242_,75.4µm
_0457_,75.14µm
_1166_,74.76µm
REG_DEST\[0\],74.755µm
_1167_,74.6µm
net54,74.54µm
_1186_,73.485µm
_1610_,72.98µm
_2016_,72.94µm
_0812_,72.86µm
_1345_,71.94µm
_2025_,71.455µm
net33,71.35µm
_1129_,71.22µm
clknet_leaf_33_CLK,70.76µm
clknet_leaf_20_CLK,70.38µm
_0498_,70.36µm
net62,70.32µm
_1286_,70.3µm
net41,69.84µm
_1568_,69.76µm
_0547_,69.6µm
_1294_,69.54µm
clknet_leaf_40_CLK,69.36µm
clknet_leaf_0_CLK,69.28µm
STREAM_WRITE_DEST,68.58µm
_0705_,68.04µm
_1173_,67.2µm
_1249_,66.72µm
_0786_,66.65µm
_1284_,66.65µm
clknet_leaf_18_CLK,66.46µm
_1227_,66.32µm
_1094_,66.22µm
_0496_,66.205µm
_1709_,65.94µm
_1755_,65.7µm
_0703_,65.6µm
_1314_,65.24µm
_2191_,64.96µm
_0963_,64.94µm
_2401_,64.79µm
RESULT_MEM\[7\],64.705µm
_0514_,64.56µm
_0550_,64.005µm
clknet_leaf_26_CLK,63.96µm
_1233_,63.91µm
net64,63.9µm
_2418_,63.72µm
clknet_leaf_32_CLK,63.64µm
_2024_,63.55µm
_1045_,63.46µm
_2218_,63.36µm
_1244_,63.08µm
_2154_,63.06µm
_1293_,63.04µm
_0791_,63.03µm
_0489_,63µm
_2383_,62.67µm
_0540_,62.28µm
_2164_,61.9µm
_2177_,61.82µm
_1196_,61.2µm
_0876_,60.84µm
_1385_,60.36µm
_2082_,59.82µm
net70,59.81µm
_0576_,59.55µm
_2364_,59.495µm
_0681_,59.44µm
_1641_,59.38µm
_1603_,59.26µm
_2071_,58.95µm
_1205_,58.92µm
_0796_,58.72µm
RESULT_MEM\[15\],58.62µm
_1310_,58.62µm
_1703_,58.06µm
_1142_,58µm
net45,57.91µm
_2132_,57.86µm
_0767_,57.5µm
_1658_,57.26µm
_0794_,57.24µm
net67,57.2µm
_0765_,56.935µm
_1158_,56.92µm
_1412_,56.895µm
clknet_leaf_7_CLK,56.6µm
_0506_,56.57µm
_0455_,56.52µm
_0492_,56.5µm
_1384_,56.5µm
_1015_,56.44µm
net69,56.215µm
_1101_,56.08µm
_2375_,56.02µm
_0649_,55.92µm
_1501_,55.9µm
clknet_leaf_36_CLK,55.56µm
_1888_,55.28µm
_1434_,55.06µm
clknet_leaf_3_CLK,55µm
_0654_,54.64µm
clknet_leaf_29_CLK,54.64µm
_1343_,54.385µm
_1386_,54.385µm
net43,54.29µm
_2344_,54.22µm
_1261_,53.98µm
_1662_,53.96µm
_0621_,53.905µm
_2359_,53.9µm
_1688_,53.72µm
net57,52.88µm
REG_COND\[0\],52.845µm
net44,52.81µm
net66,52.68µm
_1794_,52.3µm
_1517_,52.24µm
_0737_,52.2µm
_0798_,51.88µm
_1350_,51.88µm
_0858_,51.82µm
_2162_,51.48µm
_0770_,51.44µm
_0697_,50.52µm
net65,50.495µm
_1642_,50.18µm
_0552_,50.095µm
_1954_,50.06µm
_2254_,50.02µm
_1644_,49.985µm
_1556_,49.76µm
_2128_,49.66µm
_1795_,49.6µm
_1731_,49.4µm
_1462_,48.99µm
_1131_,48.76µm
REG_COND\[2\],48.28µm
_0553_,48.28µm
_1234_,48.14µm
_1399_,48.1µm
_0445_,47.86µm
_0494_,47.8µm
_2134_,47.48µm
_1520_,47.4µm
_2124_,47µm
_0748_,46.92µm
net79,46.3µm
_1396_,46.3µm
