Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_93_557,VPWR,li1,261.9700,263.8400,1.599950
FILLER_93_554,VPWR,li1,261.0500,263.8400,1.599950
FILLER_93_551,VPWR,li1,259.6700,263.8400,1.599950
FILLER_93_548,VPWR,li1,258.2900,263.8400,1.599950
FILLER_93_545,VPWR,li1,256.9100,263.8400,1.599950
FILLER_93_542,VPWR,li1,255.5300,263.8400,1.599950
FILLER_93_539,VPWR,li1,254.1500,263.8400,1.599950
FILLER_93_536,VPWR,li1,252.7700,263.8400,1.599950
FILLER_93_533,VPWR,li1,251.3900,263.8400,1.599950
FILLER_93_529,VPWR,li1,249.5500,263.8400,1.599950
FILLER_93_526,VPWR,li1,248.1700,263.8400,1.599950
FILLER_93_523,VPWR,li1,246.7900,263.8400,1.599950
FILLER_93_520,VPWR,li1,245.4100,263.8400,1.599950
FILLER_93_517,VPWR,li1,244.0300,263.8400,1.599950
FILLER_93_514,VPWR,li1,242.6500,263.8400,1.599950
FILLER_93_511,VPWR,li1,241.2700,263.8400,1.599951
FILLER_93_508,VPWR,li1,239.8900,263.8400,1.599951
FILLER_93_505,VPWR,li1,238.5100,263.8400,1.599951
FILLER_93_501,VPWR,li1,236.6700,263.8400,1.599951
FILLER_93_498,VPWR,li1,235.2900,263.8400,1.599951
FILLER_93_495,VPWR,li1,233.9100,263.8400,1.599951
FILLER_93_492,VPWR,li1,232.5300,263.8400,1.599951
FILLER_93_489,VPWR,li1,231.1500,263.8400,1.599951
FILLER_93_486,VPWR,li1,229.7700,263.8400,1.599951
FILLER_93_483,VPWR,li1,228.3900,263.8400,1.599951
FILLER_93_480,VPWR,li1,227.0100,263.8400,1.599951
FILLER_93_477,VPWR,li1,225.6300,263.8400,1.599951
FILLER_93_469,VPWR,li1,221.7200,263.8400,1.599951
FILLER_93_458,VPWR,li1,216.8900,263.8400,1.599952
FILLER_93_455,VPWR,li1,215.5100,263.8400,1.599953
FILLER_93_452,VPWR,li1,214.1300,263.8400,1.599953
FILLER_93_449,VPWR,li1,212.7500,263.8400,1.599954
FILLER_93_445,VPWR,li1,210.9100,263.8400,1.599954
FILLER_93_442,VPWR,li1,209.5300,263.8400,1.599954
FILLER_93_439,VPWR,li1,208.1500,263.8400,1.599955
FILLER_93_436,VPWR,li1,206.7700,263.8400,1.599955
FILLER_93_433,VPWR,li1,205.3900,263.8400,1.599955
FILLER_93_430,VPWR,li1,204.0100,263.8400,1.599956
FILLER_93_427,VPWR,li1,202.6300,263.8400,1.599956
FILLER_93_424,VPWR,li1,201.2500,263.8400,1.599957
FILLER_93_421,VPWR,li1,199.8700,263.8400,1.599957
FILLER_93_417,VPWR,li1,198.0300,263.8400,1.599957
FILLER_93_406,VPWR,li1,192.9700,263.8400,1.599959
FILLER_93_403,VPWR,li1,191.5900,263.8400,1.599960
FILLER_93_393,VPWR,li1,186.7600,263.8400,1.599962
FILLER_93_389,VPWR,li1,185.1500,263.8400,1.599962
FILLER_93_361,VPWR,li1,172.2700,263.8400,1.599965
FILLER_93_312,VPWR,li1,149.7300,263.8400,1.599946
FILLER_93_309,VPWR,li1,148.3500,263.8400,1.599944
FILLER_93_305,VPWR,li1,146.5100,263.8400,1.599942
FILLER_93_302,VPWR,li1,145.1300,263.8400,1.599942
FILLER_93_299,VPWR,li1,143.7500,263.8400,1.599941
FILLER_93_281,VPWR,li1,135.2400,263.8400,1.599934
FILLER_93_253,VPWR,li1,122.5900,263.8400,1.599928
FILLER_93_225,VPWR,li1,109.7100,263.8400,1.599924
FILLER_93_197,VPWR,li1,96.8300,263.8400,1.599923
FILLER_93_195,VPWR,li1,95.4500,263.8400,1.599923
FILLER_93_192,VPWR,li1,94.5300,263.8400,1.599923
FILLER_93_189,VPWR,li1,93.1500,263.8400,1.599923
FILLER_93_180,VPWR,li1,88.5500,263.8400,1.599924
FILLER_93_177,VPWR,li1,87.6300,263.8400,1.599924
FILLER_93_141,VPWR,li1,71.0700,263.8400,1.599931
FILLER_93_113,VPWR,li1,58.1900,263.8400,1.599939
FILLER_93_111,VPWR,li1,56.8100,263.8400,1.599941
FILLER_93_108,VPWR,li1,55.8900,263.8400,1.599941
FILLER_93_100,VPWR,li1,51.9800,263.8400,1.599945
FILLER_93_97,VPWR,li1,50.8300,263.8400,1.599945
FILLER_93_94,VPWR,li1,49.4500,263.8400,1.599947
FILLER_93_91,VPWR,li1,48.0700,263.8400,1.599949
FILLER_93_88,VPWR,li1,46.6900,263.8400,1.599949
FILLER_93_85,VPWR,li1,45.3100,263.8400,1.599951
FILLER_93_81,VPWR,li1,43.4700,263.8400,1.599953
FILLER_93_78,VPWR,li1,42.0900,263.8400,1.599953
FILLER_93_75,VPWR,li1,40.7100,263.8400,1.599956
FILLER_93_72,VPWR,li1,39.3300,263.8400,1.599956
FILLER_93_69,VPWR,li1,37.9500,263.8400,1.599957
FILLER_93_66,VPWR,li1,36.5700,263.8400,1.599960
FILLER_93_63,VPWR,li1,35.1900,263.8400,1.599960
FILLER_93_60,VPWR,li1,33.8100,263.8400,1.599962
FILLER_93_57,VPWR,li1,32.4300,263.8400,1.599962
FILLER_93_53,VPWR,li1,30.5900,263.8400,1.599964
FILLER_93_12,VPWR,li1,11.5000,263.8400,1.599973
FILLER_93_9,VPWR,li1,10.3500,263.8400,1.599973
FILLER_93_6,VPWR,li1,8.9700,263.8400,1.599973
FILLER_93_3,VPWR,li1,7.5900,263.8400,1.599973
FILLER_92_557,VPWR,li1,261.9700,263.8400,1.599950
FILLER_92_554,VPWR,li1,261.0500,263.8400,1.599950
FILLER_92_551,VPWR,li1,259.6700,263.8400,1.599950
FILLER_92_548,VPWR,li1,258.2900,263.8400,1.599950
FILLER_92_545,VPWR,li1,256.9100,263.8400,1.599950
FILLER_92_542,VPWR,li1,255.5300,263.8400,1.599950
FILLER_92_536,VPWR,li1,252.3100,263.8400,1.599950
FILLER_92_533,VPWR,li1,251.3900,263.8400,1.599950
FILLER_92_530,VPWR,li1,249.7800,263.8400,1.599950
FILLER_92_527,VPWR,li1,248.6300,263.8400,1.599950
FILLER_92_524,VPWR,li1,247.2500,263.8400,1.599950
FILLER_92_521,VPWR,li1,245.8700,263.8400,1.599950
FILLER_92_518,VPWR,li1,244.4900,263.8400,1.599950
FILLER_92_515,VPWR,li1,243.1100,263.8400,1.599950
FILLER_92_512,VPWR,li1,241.7300,263.8400,1.599951
FILLER_92_509,VPWR,li1,240.3500,263.8400,1.599951
FILLER_92_506,VPWR,li1,238.9700,263.8400,1.599951
FILLER_92_503,VPWR,li1,237.5900,263.8400,1.599951
FILLER_92_500,VPWR,li1,236.2100,263.8400,1.599951
FILLER_92_497,VPWR,li1,234.8300,263.8400,1.599951
FILLER_92_494,VPWR,li1,233.4500,263.8400,1.599951
FILLER_92_491,VPWR,li1,232.0700,263.8400,1.599951
FILLER_92_488,VPWR,li1,230.6900,263.8400,1.599951
FILLER_92_485,VPWR,li1,229.3100,263.8400,1.599951
FILLER_92_482,VPWR,li1,227.9300,263.8400,1.599951
FILLER_92_475,VPWR,li1,224.2500,263.8400,1.599951
FILLER_92_461,VPWR,li1,218.2700,263.8400,1.599952
FILLER_92_458,VPWR,li1,216.8900,263.8400,1.599952
FILLER_92_455,VPWR,li1,215.5100,263.8400,1.599953
FILLER_92_452,VPWR,li1,214.1300,263.8400,1.599953
FILLER_92_449,VPWR,li1,212.7500,263.8400,1.599954
FILLER_92_446,VPWR,li1,211.3700,263.8400,1.599954
FILLER_92_443,VPWR,li1,209.9900,263.8400,1.599954
FILLER_92_440,VPWR,li1,208.6100,263.8400,1.599955
FILLER_92_437,VPWR,li1,207.2300,263.8400,1.599955
