Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_93_557,VGND,li1,261.9700,266.5600,0.000008
FILLER_93_554,VGND,li1,261.0500,266.5600,0.000008
FILLER_93_551,VGND,li1,259.6700,266.5600,0.000008
FILLER_93_548,VGND,li1,258.2900,266.5600,0.000008
FILLER_93_545,VGND,li1,256.9100,266.5600,0.000008
FILLER_93_542,VGND,li1,255.5300,266.5600,0.000008
FILLER_93_539,VGND,li1,254.1500,266.5600,0.000008
FILLER_93_536,VGND,li1,252.7700,266.5600,0.000008
FILLER_93_533,VGND,li1,251.3900,266.5600,0.000008
FILLER_93_529,VGND,li1,249.5500,266.5600,0.000008
FILLER_93_526,VGND,li1,248.1700,266.5600,0.000008
FILLER_93_523,VGND,li1,246.7900,266.5600,0.000008
FILLER_93_520,VGND,li1,245.4100,266.5600,0.000008
FILLER_93_517,VGND,li1,244.0300,266.5600,0.000008
FILLER_93_514,VGND,li1,242.6500,266.5600,0.000008
FILLER_93_511,VGND,li1,241.2700,266.5600,0.000008
FILLER_93_508,VGND,li1,239.8900,266.5600,0.000008
FILLER_93_505,VGND,li1,238.5100,266.5600,0.000008
FILLER_93_501,VGND,li1,236.6700,266.5600,0.000008
FILLER_93_498,VGND,li1,235.2900,266.5600,0.000008
FILLER_93_495,VGND,li1,233.9100,266.5600,0.000008
FILLER_93_492,VGND,li1,232.5300,266.5600,0.000008
FILLER_93_489,VGND,li1,231.1500,266.5600,0.000008
FILLER_93_486,VGND,li1,229.7700,266.5600,0.000008
FILLER_93_483,VGND,li1,228.3900,266.5600,0.000008
FILLER_93_480,VGND,li1,227.0100,266.5600,0.000008
FILLER_93_477,VGND,li1,225.6300,266.5600,0.000008
FILLER_93_469,VGND,li1,221.7200,266.5600,0.000008
FILLER_93_458,VGND,li1,216.8900,266.5600,0.000008
FILLER_93_455,VGND,li1,215.5100,266.5600,0.000008
FILLER_93_452,VGND,li1,214.1300,266.5600,0.000008
FILLER_93_449,VGND,li1,212.7500,266.5600,0.000008
FILLER_93_445,VGND,li1,210.9100,266.5600,0.000007
FILLER_93_442,VGND,li1,209.5300,266.5600,0.000007
FILLER_93_439,VGND,li1,208.1500,266.5600,0.000007
FILLER_93_436,VGND,li1,206.7700,266.5600,0.000007
FILLER_93_433,VGND,li1,205.3900,266.5600,0.000007
FILLER_93_430,VGND,li1,204.0100,266.5600,0.000007
FILLER_93_427,VGND,li1,202.6300,266.5600,0.000007
FILLER_93_424,VGND,li1,201.2500,266.5600,0.000006
FILLER_93_421,VGND,li1,199.8700,266.5600,0.000006
FILLER_93_417,VGND,li1,198.0300,266.5600,0.000006
FILLER_93_406,VGND,li1,192.9700,266.5600,0.000006
FILLER_93_403,VGND,li1,191.5900,266.5600,0.000006
FILLER_93_393,VGND,li1,186.7600,266.5600,0.000005
FILLER_93_389,VGND,li1,185.1500,266.5600,0.000005
FILLER_93_361,VGND,li1,172.2700,266.5600,0.000006
FILLER_93_312,VGND,li1,149.7300,266.5600,0.000011
FILLER_93_309,VGND,li1,148.3500,266.5600,0.000011
FILLER_93_305,VGND,li1,146.5100,266.5600,0.000011
FILLER_93_302,VGND,li1,145.1300,266.5600,0.000011
