net,length_um
clknet_0_CLK,450.32µm
net383,428.48µm
net473,418.48µm
net322,411.97µm
_2361_,410.61µm
_0666_,390.21µm
net243,390.15µm
net282,389.05µm
net176,379.12µm
net388,374.21µm
_0522_,370.65µm
net469,366.87µm
net158,365.05µm
net345,362.11µm
_2397_,361.695µm
net168,360.24µm
net385,358.92µm
net172,356.8µm
_2372_,356.06µm
net204,355.305µm
net269,349.385µm
net257,348.75µm
net241,346.58µm
_2385_,346.31µm
net362,346.18µm
net239,345.53µm
net166,344.59µm
net313,344.21µm
_0618_,341.04µm
net156,339.2µm
net245,338.765µm
net286,337.245µm
net263,333.265µm
net357,332.23µm
net276,331.05µm
_0610_,327.23µm
_0650_,325.86µm
net288,325.01µm
net327,324.18µm
net164,322.87µm
net174,322.81µm
net265,321.78µm
net390,321.68µm
net387,321.21µm
_0594_,321.06µm
net255,320.795µm
_2333_,319.02µm
net253,318.79µm
IMM\[2\],316.85µm
_0508_,316.05µm
_0658_,314.83µm
net331,314.09µm
net160,312.69µm
net314,312.67µm
net170,312µm
_2384_,311.06µm
_0433_,308.38µm
net249,308.205µm
_0507_,307.97µm
net251,307.73µm
net261,306.59µm
IMM\[3\],306.4µm
net301,305.29µm
net365,303.3µm
net391,300.14µm
net297,299.34µm
_0602_,299.33µm
net316,298.04µm
net319,296.94µm
net393,293.69µm
net222,292.52µm
net434,289.97µm
net315,289.75µm
net259,289.59µm
net381,289.19µm
net310,288.36µm
net341,287.43µm
net366,286.79µm
net359,286.58µm
_0634_,284.98µm
net398,284.44µm
net112,283.2µm
net318,282.98µm
_0410_,281.65µm
_0753_,280.07µm
net267,279.735µm
_0421_,279.21µm
_0578_,279.13µm
net284,275.93µm
net344,274.74µm
_1102_,272.14µm
net378,272.08µm
net312,268.02µm
net280,266.7µm
net472,264.3µm
_1374_,263.215µm
net247,261.24µm
_1237_,260.185µm
net162,259.55µm
net277,259.27µm
_0740_,259.2µm
_0674_,259.14µm
_2336_,259.06µm
net294,258.755µm
net432,257.99µm
net296,257.8µm
net342,255.9µm
net436,255.49µm
_1121_,254.46µm
CLK,254.34µm
net332,253.13µm
net369,252.46µm
_1373_,249.28µm
net302,246.4µm
net326,245.18µm
net471,244.81µm
net290,244.17µm
net364,243.55µm
_0749_,240.93µm
net396,240.51µm
net307,239.07µm
IMM\[8\],237.46µm
_1195_,235.89µm
net134,233.92µm
net306,232.64µm
_1507_,232.39µm
_0733_,232.12µm
_0723_,231.73µm
net343,231.25µm
_1130_,230.84µm
IMM\[9\],229.45µm
net363,229.12µm
net522,227.45µm
_2360_,226.97µm
_1112_,226.93µm
net279,226.86µm
_0751_,226.53µm
net384,225.46µm
_0642_,223.295µm
net278,222.75µm
net115,222.53µm
_0626_,221.995µm
_1506_,220.19µm
net370,219.6µm
_0746_,219.16µm
net320,214.74µm
net516,214.65µm
net295,213.865µm
net395,212.76µm
net283,212.18µm
_0447_,212.04µm
net127,211.975µm
clknet_3_0__leaf_CLK,211.65µm
net361,211.4µm
_0548_,210.73µm
net311,207.46µm
net411,206.22µm
_0803_,205.66µm
_1217_,205.15µm
net242,204.775µm
net360,204.6µm
net182,204.53µm
net448,204.36µm
net386,204.09µm
net324,202.93µm
net159,202.87µm
net317,202.28µm
_2337_,201.72µm
net333,200.01µm
net254,199.94µm
net433,199.89µm
net431,199.82µm
net303,199.52µm
net49,197.32µm
_1489_,197.12µm
net293,197.05µm
net346,196.93µm
net505,196.36µm
net389,196.285µm
net348,194.58µm
_0757_,193.63µm
net270,193.45µm
net368,192.95µm
net305,191.42µm
_0006_,191.21µm
net287,191.155µm
IMM\[5\],188.88µm
_1503_,188.57µm
_0536_,188.54µm
_1183_,188.06µm
_1206_,187.59µm
net200,187.56µm
net339,187.37µm
net128,187.145µm
net406,187.05µm
net444,186.93µm
_0549_,186.4µm
_0735_,186.26µm
_1375_,186.03µm
net165,185.6µm
_1257_,185.23µm
_2325_,184.56µm
net374,184.36µm
IMM\[10\],183.69µm
_0761_,183.56µm
net410,183.11µm
net180,182.82µm
net487,182.55µm
net244,182.17µm
net299,182.11µm
net211,181.555µm
_0755_,180.52µm
net264,179.73µm
_0015_,179.16µm
net289,178.54µm
clknet_3_2__leaf_CLK,178.42µm
net177,178.26µm
_0729_,177.895µm
net304,177.62µm
net394,177.48µm
_0499_,177.34µm
_1148_,177.165µm
_0478_,176.19µm
net468,175.86µm
net246,175.41µm
net250,175.37µm
net258,175.03µm
_1679_,174.34µm
clknet_3_5__leaf_CLK,173.84µm
_1245_,172.49µm
_0690_,171.61µm
net111,171.5µm
clknet_3_1__leaf_CLK,169.95µm
net167,169.34µm
net205,168.995µm
IMM\[11\],168.97µm
net256,168.015µm
net198,167.74µm
net281,167.66µm
net351,167.55µm
net336,167.385µm
net470,167.22µm
net175,165.57µm
net252,164.58µm
_1858_,164.42µm
net268,164.24µm
_1628_,164.07µm
net330,163.845µm
net132,163.18µm
net403,163.06µm
_0829_,162.385µm
net285,162.04µm
net430,161.66µm
net240,161.24µm
net486,160.6µm
IMM\[7\],160.42µm
_0796_,160.4µm
_0409_,160.27µm
net196,160.11µm
net171,159.54µm
net129,159.49µm
IMM\[4\],159.37µm
_1150_,159.35µm
_0759_,159.26µm
_0682_,159.06µm
net169,158.32µm
net449,158.04µm
_1281_,156.94µm
net373,156.66µm
net178,156.375µm
net481,156.28µm
IMM\[6\],154.81µm
net377,154.705µm
net367,154.235µm
IMM\[12\],154.22µm
net131,154.09µm
net266,153.96µm
_1550_,153.82µm
_1836_,153.74µm
net260,153.44µm
net126,152.74µm
_1445_,152.68µm
net262,152.42µm
_0456_,152.38µm
_1184_,152.165µm
_0798_,152.1µm
net292,151.54µm
_1356_,151.47µm
_2323_,151.16µm
net329,150.84µm
_0764_,149.42µm
_2396_,149µm
net340,148.42µm
_0744_,148.26µm
net508,148.245µm
net298,148.08µm
net161,147.83µm
IMM\[14\],147.18µm
net337,146.67µm
net358,146.63µm
_2170_,146.5µm
_1322_,146.38µm
net447,146.27µm
net328,145.77µm
net248,144.75µm
_2351_,144.38µm
net446,144.37µm
_1270_,144.34µm
net392,144.09µm
_1812_,143.63µm
_0003_,143.57µm
net325,142.795µm
net206,142.44µm
